sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_time,Audiogram_both,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,29.025379300117493,None,91.74330580001697,None,0.16666666666666666,93.69981699995697,None,2.9140082575293724,both,708.0,-1.03551849648358,3.934314629705547e-05,0,23,[],0.011869666632264853,None,None,94.7527689000126,None,0.2152588665485382,3.1292671240779106,94.95918040000834,None,,,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,1,0,1,0,,,,,,,,2.9140082575293724,both,631.0,-1.3440538672012166,4.375445930496542e-05,0,24,[],0.011393466731533408,None,None,97.87210620008409,97.87210620008409,0.20990656688809395,3.1239148244174664,98.08518910012208,97.87210620008409,,,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,2,0,2,0,,,,,,,,2.9140082575293724,both,562.0,-1.563976891791369,5.1593805605371385e-05,0,25,[],0.011824666755273938,None,None,100.99308919999748,100.99308919999748,0.21031436673365533,3.1243226242630278,101.20830660010688,100.99308919999748,,,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,3,0,3,0,,,,,,,,2.9140082575293724,both,501.0,-0.57967985868342,6.668631004865666e-05,0,26,[],0.01148366671986878,0.20761026651598513,None,104.1111759999767,104.1111759999767,0.20761026651598513,3.1216185240453576,104.32469990011305,104.1111759999767,,,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,4,0,4,0,,,,,,,,2.9140082575293724,both,446.0,1.1523228508621388,8.473113145242503e-05,0,27,[],0.011918166652321815,None,None,107.23168190009892,107.23168190009892,0.21212396677583456,3.126132224305207,107.44479410001077,107.23168190009892,,,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,5,0,5,0,,,,,,,,2.9140082575293724,both,397.0,3.143935806060897,0.00011106130491465648,0,28,[],0.010852866806089878,0.20518946670927107,None,110.35952270007692,110.35952270007692,0.20518946670927107,3.1191977242386435,110.56483940011822,110.35952270007692,,,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,6,0,6,0,,,,,,,,2.9140082575293724,both,354.0,-2.0,7.02951783824607e-05,0,29,[],0.011041966499760747,None,['space'],113.47891529998742,113.47891529998742,0.20817316649481654,3.122181424024189,113.69105829996988,113.47891529998742,[-2.810778300045058],,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,7,0,7,0,,,,,,,,2.9140082575293724,both,315.0,-0.9033774414777991,8.887940370833074e-05,0,30,[],0.010369066847488284,0.2062920667231083,"['space', 'space']",116.59923910000362,116.59923910000362,0.2062920667231083,3.1203003242524807,116.80476570012979,116.59923910000362,"[-2.795319000026211, 0.028683300130069256]",,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,8,0,8,0,,,,,,,,2.9140082575293724,both,281.0,4.206039646803379,0.0002185140896336,0,31,[],0.010469566565006971,0.2059591666329652,None,119.71934880013578,119.71934880013578,0.2059591666329652,3.1199674241623376,119.93072709999979,119.71934880013578,,,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,9,0,9,0,,,,,,,,2.9140082575293724,both,250.0,3.9516589567646023,0.00026396901519485413,0,32,[],0.011016166536137462,None,"['space', 'space']",122.84013190004043,122.84013190004043,0.21094056661240757,3.12494882414178,123.05689040012658,122.84013190004043,"[-2.8193353000096977, -0.05867969989776611]",,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,10,0,10,0,,,,,,,,2.9140082575293724,both,223.0,4.433983922482815,0.0003671749562384212,0,33,[],0.011419466463848948,None,['space'],125.97068689996377,125.97068689996377,0.21133876638486981,3.1253470239142422,126.18414840009063,125.97068689996377,[-0.15769500005990267],,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
0,0,0,0,11,0,11,0,,,,,,,,2.9140082575293724,both,199.0,-0.9634016464486885,0.0002408341752425402,0,34,[],0.003969566663727164,0.19278276665136218,['space'],129.101722399937,129.101722399937,0.19278276665136218,3.1067910241807346,129.3106096999254,129.101722399937,[-0.07348009990528226],,,,,,,,,,nunamh,001,fr,0,2022-05-17_10h36.21.712,Continuous,2022.1.1,36.284391215067195,
