sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,42.352143600001,None,50.700541500002146,None,"[0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333]",52.86294790008105,None,1.6660882492565283,none,794.0,-0.04852021628814718,3.842563866573322e-05,0,28,[],0.005821466795168817,0.19791716674808413,None,53.90491220005788,None,0.19791716674808413,1.8640054160046124,54.11929369997233,None,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.9403244480445654,none,149.0,1.3775727537294822,0.0005965420229647023,0,29,[],0.011942366720177233,None,['space'],55.81085210002493,55.81085210002493,0.214053766685538,3.1543782147301034,56.03028690000065,55.81085210002493,[-0.9789917999878526],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.2292414833852081,none,530.0,-0.20498821183212568,6.520747826398278e-05,0,30,[],0.01201676670461893,None,None,58.99375060002785,58.99375060002785,0.2177930666366592,1.4470345500218673,59.20588150003459,58.99375060002785,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.3617944019011143,none,354.0,0.0,8.849638639228378e-05,0,31,[],0.01224206667393446,None,None,60.461332999984734,60.461332999984734,0.21297216671518981,1.5747665686163042,60.67695570003707,60.461332999984734,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.3197043818089023,none,223.0,1.2112454109069335,0.0002533588774799564,0,32,[],0.012239766656421125,None,['space'],62.06601269997191,62.06601269997191,0.21660256676841527,1.5363069485773175,62.27442270005122,62.06601269997191,[-0.8189991000108421],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.5999230468415426,none,1123.0,-1.5244606343029838,4.1277860296075776e-05,0,33,[],0.012094066827557981,None,None,63.62592949997634,63.62592949997634,0.2152544668642804,2.815177513705823,63.841314700082876,63.62592949997634,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.59033760016519,none,891.0,-0.11177253971485895,4.0430824964894903e-05,0,34,[],0.005083666765131056,0.1984854667680338,['space'],66.46536470006686,66.46536470006686,0.1984854667680338,1.788823066933224,66.68257040006574,66.46536470006686,[-2.321083499933593],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.2432992303993315,none,281.0,1.8213072200776543,0.0001660515079492369,0,35,[],0.011922566802240908,None,['space'],68.29688530007843,68.29688530007843,0.21332056680694222,1.4566197972062738,68.51577579998411,68.29688530007843,[-1.3211109000258148],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.800571714262401,none,,,,1,35,[],0.012111266725696623,None,['space'],69.77543809998315,69.77543809998315,0.2173852666746825,2.0179569809370834,69.98672599997371,69.77543809998315,[-0.8951393999159336],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.1530767186533257,none,1683.0,-2.0430793421164513,4.781771666748348e-05,0,36,[],0.013072266709059477,None,None,71.8150812999811,71.8150812999811,0.2197944667423144,1.3728711853956401,72.02897870005108,71.8150812999811,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,2.533322404950351,none,2120.0,-1.1894981192658738,6.755679724184423e-05,0,37,[],0.004140366800129414,0.196626266813837,['space'],73.20767869998235,73.20767869998235,0.196626266813837,2.729948671764188,73.42222489998676,73.20767869998235,[-0.9680265999631956],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,80.52938910003286,None,2.13316075850784,frequency,1416.0,-3.7095878137920506,3.2873627687098555e-05,0,28,[],0.012814066605642438,None,None,81.56767050002236,None,0.20552116667386144,2.3386819251817013,81.77464169997256,None,,75.97897870000452,None,0.3333333333333333,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.5560235683078,frequency,1124.0,-1.735735034327173,4.032018669289856e-05,0,29,[],0.011486166738905013,None,['space'],83.93475900008343,83.93475900008343,0.21531826676800847,2.7713418350758086,84.14645150001161,83.93475900008343,[-1.7424135999754071],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.065103207860919,frequency,892.0,-0.11974791670210272,4.042175114874619e-05,0,30,[],0.011554166791029274,None,['space'],86.73275530000683,86.73275530000683,0.21320656675379723,2.278309774614716,86.94421530002728,86.73275530000683,[-2.332187799969688],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.7135745848047688,frequency,708.0,-0.04281056376837222,4.4106691744916e-05,0,31,[],0.0035233667585998774,None,['space'],89.0433094999753,89.0433094999753,0.21724656666629016,1.930821151471059,89.26725140004419,89.0433094999753,[-1.8910587000427768],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.8398248156398336,frequency,562.0,-0.7920052448271332,5.638922754013408e-05,0,32,[],0.011562866740860045,None,['space'],90.9980271999957,90.9980271999957,0.21824226679746062,2.058067082437294,91.21909190004226,90.9980271999957,[-1.4461555000161752],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.7224291034358565,frequency,446.0,1.2275279995242034,8.546794526410053e-05,0,33,[],0.010733966599218547,None,['space'],93.08430700004101,93.08430700004101,0.22575806663371623,1.9481871700695728,93.30191070004366,93.08430700004101,[-1.5806143999798223],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.325701594715724,frequency,354.0,0.0,8.849638639228378e-05,0,34,[],0.0023339667823165655,None,['space'],95.04996630002279,95.04996630002279,0.20310766680631787,1.5288092615220419,95.25930669996887,95.04996630002279,[-1.5295815999852493],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.0971531911961434,frequency,,,,1,34,[],0.01130576676223427,None,['space'],96.61811749998014,96.61811749998014,0.2204595668008551,2.3176127579969985,96.83259760006331,96.61811749998014,[-1.1625470999861136],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,1.3311485762576518,frequency,223.0,0.9344495896819178,0.00024541230535707066,0,35,[],0.008456466835923493,None,None,98.96332720003556,98.96332720003556,0.2108411667868495,1.5419897430445013,99.17858890001662,98.96332720003556,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,1.460845923892851,frequency,177.0,0.5664806737299906,0.00037274158941661583,0,36,[],0.009586566593497992,None,['space'],100.53190339996945,100.53190339996945,0.20663386664818972,1.6674797905410408,100.74883499997668,100.53190339996945,[-1.0916140999179333],,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.925748891363594,frequency,140.0,0.6256145019239847,0.0006331797038797382,0,37,[],0.01113836676813662,None,None,102.23189080005977,102.23189080005977,0.2137435667682439,3.139492458131838,102.44954980001785,102.23189080005977,,,,,,,,,ddmfvc,001,fr,0,2022-05-05_11h06.59.144,Continuous,2022.1.1,None,
