sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_time,Audiogram_none,Audiogram_both,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.16048530023545,None,54.79675320023671,None,0.3333333333333333,56.81551430001855,None,1.8659572729146283,frequency,1516.0,-1.8524017612251722,4.011770736827731e-05,0,26,[],0.004462966695427895,None,None,57.85605500033125,None,0.2168195666745305,2.082776839589159,58.077438100241125,None,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.8048365722284134,frequency,1203.0,-0.21744947354408417,5.124426675134406e-05,0,27,[],0.011938866227865219,None,None,59.96264460030943,59.96264460030943,0.20174716599285603,3.0065837382212695,60.168416700325906,59.96264460030943,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.3208961751841028,frequency,955.0,1.0667421535551203,4.836280659359767e-05,0,28,[],0.011930867098271847,None,['space'],63.000528200063854,63.000528200063854,0.2295184670947492,1.550414642278852,63.22353250021115,63.000528200063854,[-2.2719720997847617],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.2622507292527887,frequency,758.0,-0.9610225641738384,3.605905393468005e-05,0,29,[],0.004410966299474239,None,['space'],64.5620491001755,64.5620491001755,0.21337056625634432,2.475621295509133,64.78596269991249,64.5620491001755,[-0.5853962996043265],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.657472743850757,frequency,,,,1,29,[],0.012051966972649097,None,['space'],67.0685752001591,67.0685752001591,0.23017266672104597,1.887645410571803,67.28817570023239,67.0685752001591,[-0.5635273000225425],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.858232036959254,frequency,478.0,-6.395254223024433,3.475260697388233e-05,0,30,[],0.013205666095018387,None,None,68.96656539989635,68.96656539989635,0.23246006621047854,2.0906921031697325,69.19030250003561,68.96656539989635,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.0259735430574692,frequency,379.0,-8.0,3.264724102951903e-05,0,31,[],0.006692566443234682,None,None,71.06582880020142,71.06582880020142,0.22121966630220413,2.2471932093596734,71.29522660002112,71.06582880020142,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.0520431052543224,frequency,301.0,-1.0795428805985123,0.00010019321517649039,0,32,[],0.011669466271996498,None,['space'],73.34005510015413,73.34005510015413,0.23032096633687615,1.2823640715911986,73.5614263000898,73.34005510015413,[-0.6114505999721587],,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.8900695493658224,frequency,239.0,-4.6673247606780865,0.00011045191498801621,0,33,[],0.008604366797953844,None,None,74.63499170029536,74.63499170029536,0.22218476654961705,2.1122543159154397,74.86279560020193,74.63499170029536,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.4173049216585007,frequency,190.0,0.5146745868644369,0.000320289109045527,0,34,[],0.0037863668985664845,None,None,76.77510470012203,76.77510470012203,0.21213266672566533,2.629437588384166,77.00201390031725,76.77510470012203,,,,,,,,,,,eqdcwr,001,fr,0,2022-05-24_15h17.18.728,Continuous,2022.1.1,None,
