practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tToo_early.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10]], 'y': [[1], [1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.0071523000951856375,None,['space'],1,[0.3493055999279022],88.16050600004382,89.16437210002914,None,1,89.16437210002914,88.16050600004382,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,-10,2.3657562948074015e-05,False,0.007674899883568287,None,None,0,,90.29350650007837,91.29792869999073,['space'],0,91.29792869999073,90.29350650007837,[0.3885396998375654],,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.009555399883538485,None,['space'],1,[0.5800252000335604],93.22582910000347,94.23185850004666,None,1,94.23185850004666,93.22582910000347,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.010234733344987035,0.20369113353081048,None,0,,96.94413339998573,97.9655162000563,None,1,97.9655162000563,96.94413339998573,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,-10,1.7336842522626584e-05,False,0.013328600209206343,None,None,0,,100.47513370006345,101.47259230003692,None,1,101.47259230003692,100.47513370006345,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,10,0.00017336842522626576,False,0.011633100220933557,None,['space'],1,[0.33732020016759634],104.19684320013039,105.21864000009373,None,1,105.21864000009373,104.19684320013039,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,-10,2.6544222211549425e-05,False,0.005195800215005875,None,None,0,,107.71190500003286,108.71501060016453,None,1,108.71501060016453,107.71190500003286,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,10,0.00026544222211549425,False,0.01219260017387569,None,['space'],1,[0.493444100022316],109.84018030017614,110.84474450000562,None,1,110.84474450000562,109.84018030017614,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.00894883368164301,0.20506093348376453,None,0,,113.01953100017272,114.02282560011372,None,1,114.02282560011372,113.01953100017272,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",6000,-10,3.664122665694518e-05,False,0.013267000205814838,None,None,0,,116.61314560007304,117.62304890016094,None,1,117.62304890016094,116.61314560007304,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",6000,10,0.00036641226656945183,False,0.01092860009521246,None,None,0,,119.18654130003415,120.20026469998993,None,1,120.20026469998993,119.18654130003415,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",6000,30,0.003664122665694519,False,0.006878500105813146,None,['space'],1,[0.31217529997229576],122.12578820018098,123.13549510017037,None,1,123.13549510017037,122.12578820018098,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",8000,10,0.0005740768107484417,False,0.01530420035123825,None,None,0,,126.3531413001474,127.35669729998335,None,1,127.35669729998335,126.3531413001474,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30], [8000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",8000,20,0.0018153902738505074,False,0.013166500022634864,None,['space'],1,[0.46224010013975203],128.90453790011816,129.93086660001427,None,1,129.93086660001427,128.90453790011816,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30], [8000, 10], [8000, 20]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",750,-10,1.2851978913844322e-05,False,0.009361900156363845,None,None,0,,131.96667150012217,132.97287280019373,None,1,132.97287280019373,131.96667150012217,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30], [8000, 10], [8000, 20], [750, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",750,10,0.00012851978913844324,False,0.009683800162747502,None,['space'],1,[0.673820000141859],134.4369425000623,135.44925750000402,None,1,135.44925750000402,134.4369425000623,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30], [8000, 10], [8000, 20], [750, -10], [750, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013994933571666479,None,None,0,,137.43304740008898,138.4534694000613,None,1,138.4534694000613,137.43304740008898,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30], [8000, 10], [8000, 20], [750, -10], [750, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",500,-10,2.259279721874613e-05,False,0.012255300302058458,None,None,0,,140.91735800006427,141.9412976000458,None,1,141.9412976000458,140.91735800006427,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30], [8000, 10], [8000, 20], [750, -10], [750, 10], [500, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",500,10,0.0002259279721874612,False,0.008002000162377954,None,['space'],1,[0.5374733000062406],144.0132805001922,145.0186596000567,None,1,145.0186596000567,144.0132805001922,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30], [8000, 10], [8000, 20], [750, -10], [750, 10], [500, -10], [500, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",250,-10,5.296268625886443e-05,False,0.011809900170192122,None,None,0,,147.25602740002796,148.26106150005944,None,1,148.26106150005944,147.25602740002796,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [6000, 10], [6000, 30], [8000, 10], [8000, 20], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",250,10,0.0005296268625886444,False,0.01281310012564063,None,['space'],1,[0.5392587999813259],149.38001810014248,150.3906587001402,None,1,150.3906587001402,149.38001810014248,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
