sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_time,Audiogram_frequency,Audiogram_both,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,25.45981779997237,None,39.9041625999962,None,0.16666666666666666,41.952285500010476,None,2.469973268103323,both,708.0,8.626377524713845,0.00011966410276565225,0,25,[],0.005474666657391936,None,None,42.982308299979195,None,0.21540916664525867,2.6853824347485817,43.203429399989545,None,,,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.469973268103323,both,631.0,8.458535591496648,0.0001352545221418176,0,26,[],0.004581366665661335,0.19824766664532945,['space'],45.69629920000443,45.69629920000443,0.19824766664532945,2.6682209347486525,45.91247520002071,45.69629920000443,[-1.7396040000021458],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.469973268103323,both,562.0,7.104820011861053,0.00013997078819686504,0,27,[],0.012102166656404734,None,['space'],48.40994829998817,48.40994829998817,0.21548076666658744,2.6854540347699105,48.626536199997645,48.40994829998817,[-2.3569229999557137],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.469973268103323,both,501.0,5.729728926669457,0.0001378818578487347,0,28,[],0.0112198666902259,None,['space'],51.11456100002397,51.11456100002397,0.20812366664176807,2.678096934745091,51.32931399997324,51.11456100002397,[-2.358306400012225],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.469973268103323,both,446.0,6.464603742959547,0.0001561913758011451,0,29,[],0.011869166686665267,None,['space'],53.826841600006446,53.826841600006446,0.22227336670039222,2.6922466348037153,54.04532360000303,53.826841600006446,[-2.398422300000675],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.469973268103323,both,,,,1,29,[],0.011940766707994044,None,['space'],56.536896499979775,56.536896499979775,0.21460836671758443,2.6845816348209075,56.74481960001867,56.536896499979775,[-2.3724987999885343],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.469973268103323,both,354.0,9.0,0.00024941670488659655,0,30,[],0.010907966643571854,0.20587146666366607,None,59.240256800025236,59.240256800025236,0.20587146666366607,2.675844734766989,59.44546469999477,59.240256800025236,,,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.469973268103323,both,315.0,9.430767030497087,0.0002920843956939934,0,31,[],0.011846766632515937,None,['space'],61.942491800000425,61.942491800000425,0.21491546666948125,2.6848887347728043,62.159013899974525,61.942491800000425,[-2.2262233999790624],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.469973268103323,both,281.0,10.659319987242366,0.0004593497266080478,0,32,[],0.011909766646567732,None,['space'],64.65640380000696,64.65640380000696,0.21264416666235775,2.682617434765681,64.87548210000386,64.65640380000696,[-2.3477240999927744],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.469973268103323,both,250.0,10.533063120529878,0.0005631487965504042,0,33,[],0.01166876667411998,None,['space'],67.36738469998818,67.36738469998818,0.21562886668834835,2.6856021347916714,67.58164719998604,67.36738469998818,[-2.3549708999926224],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,2.469973268103323,both,223.0,9.975254329407464,0.0006949228180393078,0,34,[],0.011845566623378545,None,['space'],70.07476519996999,70.07476519996999,0.2147209666436538,2.684694234746977,70.28877929999726,70.07476519996999,[-2.4062014000373892],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,11,0,11,0,,,,,,,,2.469973268103323,both,199.0,9.133571810307586,0.0007701348700534699,0,35,[],0.011721166665665805,None,['space'],72.78615360002732,72.78615360002732,0.2148834666586481,2.684856734761971,72.99686389998533,72.78615360002732,[-2.397731799981557],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,12,0,12,0,,,,,,,,2.469973268103323,both,177.0,9.009941148116368,0.0009853281184376028,0,36,[],0.011421666655223817,None,['space'],75.49457729997812,75.49457729997812,0.21516526665072888,2.685138534754052,75.70635990001028,75.49457729997812,[-2.3696168000460602],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,13,0,13,0,,,,,,,,2.469973268103323,both,158.0,9.0,0.0012088804143577433,0,37,[],0.011691666673868895,None,['space'],78.20373240002664,78.20373240002664,0.2122476666700095,2.6822209347733326,78.42387439997401,78.20373240002664,[-2.391998999984935],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
0,0,0,0,14,0,14,0,,,,,,,,2.469973268103323,both,141.0,9.123099035178157,0.0016587795942099332,0,38,[],0.011430566606577486,None,['space'],80.91217839997262,80.91217839997262,0.21431446663336828,2.6842877347366914,81.12894020002568,80.91217839997262,[-2.4117492000223137],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,86.47006089997012,None,2.802374321633291,time,167.0,8.984958418672555,0.0010849654223609017,0,25,[],0.012907766678836197,None,None,87.50121750001563,None,0.22929206670960411,3.031666388342895,87.72324269998353,None,,83.62592399999266,None,"[0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333]",,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.802374321633291,time,2120.0,7.2550622704010825,0.00017860642252683597,0,26,[],0.0052241666708141565,None,['space'],90.54238689999329,90.54238689999329,0.19983336667064577,3.002207688303937,90.75582899997244,90.54238689999329,[-2.138019899954088],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.802374321633291,time,530.0,4.400049243588449,0.00011080242823288082,0,27,[],0.011392966727726161,None,['space'],93.58648060000269,93.58648060000269,0.21356156672118232,3.0159358883544733,93.80371090001427,93.58648060000269,[-2.0936620999709703],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.802374321633291,time,1123.0,7.2644616671624185,0.00011354376526640442,0,28,[],0.011465166637208313,None,['space'],96.62280760001158,96.62280760001158,0.2118600666290149,3.014234388262306,96.84415279998211,96.62280760001158,[-2.3296259999624453],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.802374321633291,time,,,,1,28,[],0.011431066610384732,None,['space'],99.66536370001268,99.66536370001268,0.21104246663162485,3.013416788264916,99.87716590001946,99.66536370001268,[-2.5086431999807246],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.802374321633291,time,133.0,9.299710681595174,0.001900632680432186,0,29,[],0.009786366659682244,0.2073646666831337,None,102.70313620002707,102.70313620002707,0.2073646666831337,3.0097389883164247,102.91803399997298,102.70313620002707,,,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.802374321633291,time,1683.0,1.243039928599422,6.98063287014592e-05,0,30,[],0.004141366633120924,0.19591686659259722,['space'],105.74478670000099,105.74478670000099,0.19591686659259722,2.9982911882258882,105.95939169998746,105.74478670000099,[-2.587631699978374],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.802374321633291,time,354.0,9.0,0.00024941670488659655,0,31,[],0.011344766651745886,None,['space'],108.78563030000078,108.78563030000078,0.21245216665556654,3.0148264882888576,109.00041879998753,108.78563030000078,[-2.7167525999830104],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.802374321633291,time,794.0,7.960212815544233,9.661793389060893e-05,0,32,[],0.0035934666520915926,None,['space'],111.83543889998691,111.83543889998691,0.1983356666751206,3.0007099883084116,112.05272259999765,111.83543889998691,[-2.678550499957055],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,2.802374321633291,time,891.0,8.410334406428913,0.00010784945386354312,0,33,[],0.006789166713133454,0.20173266675556079,['space'],114.88305170001695,114.88305170001695,0.20173266675556079,3.004106988388852,115.09819940000307,114.88305170001695,[-2.7022103000199422],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.802374321633291,time,187.0,9.174990377806427,0.0008994965575615621,0,34,[],0.0038744666380807757,0.19603796664159745,['space'],117.92505439999513,117.92505439999513,0.19603796664159745,2.9984122882748885,118.13868540001567,117.92505439999513,[-2.6731882999883965],,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,,123.64455869997619,None,1.8019566608348325,time,,,,1,34,[],0.013076566625386477,None,None,124.66494149999926,None,0.22456196666462347,2.026518627499456,124.87948190001771,None,,120.96504819998518,None,"[0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333]",,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.8019566608348325,time,1415.0,1.7692895602664434,6.180241271798497e-05,0,35,[],0.01201236667111516,None,None,126.70324130001245,126.70324130001245,0.21614516666159034,2.018101827496423,126.9104749999824,126.70324130001245,,,,,,,,,,,lkxgs,001,fr,0,2022-04-29_11h57.23.329,Continuous,2022.1.1,None,
