sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,Frequency,Volume,Psychopy_level,break_txt.started,break_txt.stopped,feedback.rt,,Audiogram_none,Audiogram_time,Audiogram_frequency,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,21.552854700013995,None,61.69685780000873,None,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334]",63.986777799902484,None,2.79444957702258,time,1,26,[],0.005785266635939479,0.19979536649771035,None,65.00770580000244,None,0.19979536649771035,2.9942449435202905,65.2191310999915,None,,,,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,1,0,1,0,,,,,,,,2.79444957702258,time,0,27,[],0.010569966863840818,None,None,68.01173499994911,68.01173499994911,0.20900816679932177,3.003457743821902,68.22847980004735,68.01173499994911,354.0,-1.0,7.887248739356936e-05,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,2,0,2,0,,,,,,,,2.79444957702258,time,0,28,[],0.011987666599452496,None,None,71.02424920001067,71.02424920001067,0.2148226664867252,3.0092722435093053,71.23553829989396,71.02424920001067,708.0,-0.9588275425471977,3.969205966202949e-05,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,3,0,3,0,,,,,,,,2.79444957702258,time,0,29,[],0.012091766344383359,None,None,74.03220089990646,74.03220089990646,0.21379856625571847,3.0082481432782986,74.24328149994835,74.03220089990646,1590.0,-0.977392147635896,4.995590161043638e-05,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,4,0,4,0,,,,,,,,2.79444957702258,time,0,30,[],0.009016966447234154,None,None,77.03796790004708,77.03796790004708,0.20844196644611657,3.0028915434686967,77.26130499993451,77.03796790004708,281.0,2.0875190127893535,0.0001712195745252079,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,5,0,5,0,,,,,,,,2.79444957702258,time,0,31,[],0.012078666593879461,None,None,80.05557659990154,80.05557659990154,0.21415986656211317,3.0086094435846933,80.2672309000045,80.05557659990154,125.0,-0.25915557238417364,0.000701475045192955,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,6,0,6,0,,,,,,,,2.79444957702258,time,0,32,[],0.010127266636118293,0.20686156651936471,None,83.0602178000845,83.0602178000845,0.20686156651936471,3.001311143541945,83.27285649999976,83.0602178000845,631.0,-0.4094136874248034,4.872527853481061e-05,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,7,0,7,0,,,,,,,,2.79444957702258,time,0,33,[],0.012086866423487663,None,None,86.05847789999098,86.05847789999098,0.21507006650790572,3.009519643530486,86.27087450004183,86.05847789999098,446.0,0.17635172883321354,7.572590105649046e-05,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,8,0,8,0,,,,,,,,2.79444957702258,time,0,34,[],0.011754966573789716,None,None,89.06012569996528,89.06012569996528,0.21769156656228006,3.01214114358486,89.27151619992219,89.06012569996528,188.0,-0.8675725440155191,0.0002797595613356642,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
0,0,0,0,9,0,9,0,,,,,,,,2.79444957702258,time,0,35,[],0.011920766439288855,None,None,92.0587120000273,92.0587120000273,0.21715576644055545,3.0116053434631356,92.27515250002034,92.0587120000273,501.0,-0.5944249258756137,6.657320016342463e-05,,,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
1,0,1,0,0,0,0,0,,,,,"[0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333]",96.28755300003104,None,2.35449392857731,none,0,27,[],0.012933266814798117,None,None,97.31177220004611,None,0.228184666717425,2.582678595294735,97.53098229994066,None,1061.0,-1.0,4.1535767997501404e-05,95.06089439988136,None,,,,,,,erfnpg,001,fr,0,2022-05-10_15h18.09.142,Continuous,2022.1.1,36.311361206170105,
