sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Audiogram_frequency,Intervals,Audiogram_none,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,24.27515709999716,None,38.10753189999377,None,0.5833333333333334,40.10042390000308,None,2.7886928505657265,frequency,4002.0,-2.0974816001030603,6.60400395185906e-05,0,26,[],0.012080266664270312,None,None,41.15305939997779,None,0.24124256666982546,3.029935417235552,41.38018799998099,None,,,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.7553386077391933,frequency,2671.0,-0.8732588636080615,6.806956731817058e-05,0,27,[],0.012251566688064486,None,['space'],44.18945109998458,44.18945109998458,0.21462576667545363,2.969964374414647,44.403580499987584,44.18945109998458,[-2.385740799974883],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.010013148977236,frequency,1783.0,0.6605296640013565,7.015044402361254e-05,0,28,[],0.012204166647279635,None,['space'],47.18659399999888,47.18659399999888,0.21429806665400974,2.224311215631246,47.398013900005026,47.18659399999888,[-2.5182333000120707],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.1754623705182254,frequency,1190.0,-1.636570096515539,4.306966309410557e-05,0,29,[],0.011538466642377898,None,['space'],49.4357272000052,49.4357272000052,0.20676446665311232,1.3822268371713378,49.64893559998018,49.4357272000052,[-1.7273751000175253],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.6417279080104965,frequency,,,,1,29,[],0.012324166658800095,None,['space'],50.84632270000293,50.84632270000293,0.21506786666577682,2.8567957746762733,51.0530230999866,50.84632270000293,[-0.8826281999936327],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.6739749638944674,frequency,530.0,-0.9103155859277792,6.0121670151224284e-05,0,30,[],0.013370066648349166,None,['space'],53.72170249998453,53.72170249998453,0.2116665666399058,1.8856415305343732,53.93101939998451,53.72170249998453,[-1.261149400001159],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.0413796373288544,frequency,354.0,-2.0,7.02951783824607e-05,0,31,[],0.012137366662500426,None,['space'],55.63337880000472,55.63337880000472,0.21086586668388918,1.2522455040127436,55.84255529998336,55.63337880000472,[-0.5334195999894291],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.0401471225176409,frequency,236.0,-1.858325797455511,0.0001573696239868235,0,32,[],0.004482766700675711,0.19425946669070981,None,56.914364600001136,56.914364600001136,0.19425946669070981,1.2344065892083507,57.124989200005075,56.914364600001136,,,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.9600450731630508,frequency,158.0,-2.2232178300996726,0.0003320645007175701,0,33,[],0.011966566642513499,None,['space'],58.19332259998191,58.19332259998191,0.21003566664876416,2.170080739811815,58.402847499994095,58.19332259998191,[-0.7256391000119038],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,0.16666666666666666,63.13333929999499,None,1.5432351186098205,frequency,7638.0,-2.073680406365825,0.0001343409158718008,0,34,[],0.013145366654498503,None,None,64.16394169998239,None,0.2176821666653268,1.7609172852751473,64.3720393999829,None,,60.39394639999955,None,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.199461645090127,frequency,6805.0,-2.7578700625752406,0.00010578379123646907,0,35,[],0.011577766650589183,None,['space'],65.94330379998428,65.94330379998428,0.20979546665330417,1.4092571117434312,66.15580459998455,65.94330379998428,[-1.2748406000027899],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.8602295170017988,frequency,6063.0,-2.0,9.439698569403431e-05,0,36,[],0.011601166654145345,None,['space'],67.38076840000576,67.38076840000576,0.21098016665200703,2.071209683653806,67.60234209999908,67.38076840000576,[-1.0165774000051897],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.920065857997238,frequency,5402.0,-3.918968194049915,8.783840155557907e-05,0,37,[],0.011810566706117243,None,['space'],69.48057029998745,69.48057029998745,0.21042986668180674,3.1304957246790446,69.69371579997824,69.48057029998745,[-1.676219899993157],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.82113422847121,frequency,4813.0,-5.206635315191105,7.681072659739302e-05,0,38,[],0.011712066654581577,None,['space'],72.64178989999346,72.64178989999346,0.20954186664312147,3.0306760951143317,72.8509281000006,72.64178989999346,[-2.597712799994042],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.6090286194378227,frequency,4288.0,-4.189567687531282,6.405249300773106e-05,0,39,[],0.011545866669621319,None,['space'],75.7002014000027,75.7002014000027,0.2127888666873332,1.821817486125156,75.91217969998252,75.7002014000027,[-2.4880281999940053],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.4523914406485297,frequency,3820.0,-2.0628952936986065,6.370324708811062e-05,0,40,[],0.00807126666768454,None,['space'],77.54843009999604,77.54843009999604,0.20524736665538512,1.6576388073039148,77.76340209998307,77.54843009999604,[-1.4407121000112966],,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,2.031073719222565,frequency,3403.0,-2.835702394282581,5.299906121729778e-05,0,41,[],0.011534966644831002,None,None,79.24156090000179,79.24156090000179,0.2113579666474834,2.2424316858700486,79.45378979999805,79.24156090000179,,,,,,,,,qmbami,001,fr,0,2022-04-27_14h49.13.737,Continuous,2022.1.1,None,
