sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_time,Audiogram_none,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,25.46822889999021,None,47.67929339999682,None,0.16666666666666666,49.647463999979664,None,2.9382718705994524,both,141.0,8.088491667919673,0.001472510213569253,0,26,[],0.00536886666668579,0.19647916665417142,None,50.67177869999432,None,0.19647916665417142,3.134751037253624,50.883408900001086,None,,,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.9382718705994524,both,158.0,-0.5625032747238503,0.00040202973689661326,0,27,[],0.005405066651292145,0.19553956665913574,['space'],53.844361099996604,53.844361099996604,0.19553956665913574,3.133811437258588,54.05575949998456,53.844361099996604,[-2.0299321000056807],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.9382718705994524,both,177.0,0.43627589271919565,0.00036719572275092666,0,28,[],0.009880766679998487,0.2032872666604817,None,57.01103599998169,57.01103599998169,0.2032872666604817,3.141559137259934,57.223666299978504,57.01103599998169,,,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.9382718705994524,both,,,,1,28,[],0.005278266704408452,0.19571036667912267,None,60.185040399985155,60.185040399985155,0.19571036667912267,3.133982237278575,60.39598319999641,60.185040399985155,,,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.9382718705994524,both,223.0,3.4972482548780213,0.0003296372393903109,0,29,[],0.012470366666093469,0.2095095666591078,None,63.35093629997573,63.35093629997573,0.2095095666591078,3.14778143725856,63.56331820000196,63.35093629997573,,,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.9382718705994524,both,250.0,-0.38383320329961457,0.00016024273328294234,0,30,[],0.005400966707384214,0.19619216670980677,['space'],66.52423789998284,66.52423789998284,0.19619216670980677,3.134464037309259,66.73615329997847,66.52423789998284,[-2.6454406999982893],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.9382718705994524,both,281.0,2.2180633563889227,0.00017381234971043918,0,31,[],0.009591266687493771,0.20330896668019705,['space'],69.69179260000237,69.69179260000237,0.20330896668019705,3.1415808372796494,69.90338449997944,69.69179260000237,[-2.5168367000005674],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.9382718705994524,both,315.0,3.368346386172296,0.0001453407254685911,0,32,[],0.008161966659827158,None,['space'],72.862412699993,72.862412699993,0.22778976664994843,3.166061637249401,73.08127889997559,72.862412699993,[-2.5996331999776885],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.9382718705994524,both,354.0,-1.0,7.887248739356936e-05,0,33,[],0.012107666640076786,None,['space'],76.0479199999827,76.0479199999827,0.2097825666423887,3.148054437241841,76.25424139999086,76.0479199999827,[-2.8580675999983214],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.9382718705994524,both,397.0,-0.38462322903678636,7.398349099723549e-05,0,34,[],0.010320766683435068,None,['space'],79.21877749997657,79.21877749997657,0.2079230666568037,3.146194937256256,79.43397759998334,79.21877749997657,[-2.571656099986285],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,2.9382718705994524,both,446.0,2.531625765244719,9.93134688891038e-05,0,35,[],0.011721566639607772,0.2103152666531969,['space'],82.39849939997657,82.39849939997657,0.2103152666531969,3.1485871372526493,82.61667199997464,82.39849939997657,[-2.6000166999874637],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,11,0,11,0,,,,,,,,2.9382718705994524,both,501.0,2.985970696761899,0.00010053544742405892,0,36,[],0.011631166649749503,None,['space'],85.57362759998068,85.57362759998068,0.21349836664739996,3.1517702372468523,85.78908689998207,85.57362759998068,[-2.639472900016699],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,12,0,12,0,,,,,,,,2.9382718705994524,both,562.0,2.084736855347928,7.85295755956036e-05,0,37,[],0.011704466654919088,None,['space'],88.75377679997473,88.75377679997473,0.21527316665742546,3.153545037256878,88.96516199997859,88.75377679997473,[-2.7475684999953955],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,13,0,13,0,,,,,,,,2.9382718705994524,both,631.0,0.08802967548628904,5.159724323828977e-05,0,38,[],0.011577966681215912,0.2086271666630637,['space'],91.93133559997659,91.93133559997659,0.2086271666630637,3.146899037262516,92.13610009997501,91.93133559997659,[-2.6766671999939717],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
0,0,0,0,14,0,14,0,,,,,,,,2.9382718705994524,both,708.0,-0.6475592092080675,4.1140261904830535e-05,0,39,[],0.01029216666938737,None,['space'],95.10146179998992,95.10146179998992,0.20559696666896343,3.143868837268416,95.31256639998173,95.10146179998992,[-2.6793398000008892],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,100.31336869997904,None,1.2532710593279495,time,354.0,-1.0,7.887248739356936e-05,0,26,[],0.010212766675977036,None,None,101.34917639999185,None,0.2197375666582957,1.4730086259862452,101.55499069998041,None,,98.28042090000235,None,"[0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334]",,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.2532710593279495,time,1416.0,0.5670628738961416,5.378735230910783e-05,0,27,[],0.011146066710352898,None,None,102.83736429997953,102.83736429997953,0.20998856669757515,1.4632596260255246,103.04669709998416,102.83736429997953,,,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.2532710593279495,time,842.0,-1.6521605401040018,3.270904981525247e-05,0,28,[],0.011497466679429635,None,['space'],104.32632539997576,104.32632539997576,0.21254986667190678,1.4658209259998563,104.5381567000004,104.32632539997576,[-0.9601523000164889],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.2532710593279495,time,167.0,4.910451687674746,0.0006787198658127612,0,29,[],0.004904566681943834,0.1948894666857086,['space'],105.81677969999146,105.81677969999146,0.1948894666857086,1.448160526013658,106.02202569998917,105.81677969999146,[-1.0103450999886263],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.2532710593279495,time,945.0,-1.3044281895095444,3.656432624119519e-05,0,30,[],0.011308066663332283,None,['space'],107.30292999997619,107.30292999997619,0.21149126667296514,1.4647623260009146,107.51820279998356,107.30292999997619,[-1.0883853000123054],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.2532710593279495,time,236.0,0.2653318181967359,0.00020095730040064602,0,31,[],0.011439666646765545,None,['space'],108.79893629997969,108.79893629997969,0.21049196663079783,1.4637630259587473,109.0100359999924,108.79893629997969,[-1.0802777000062633],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.2532710593279495,time,530.0,1.7767897226492906,8.19193130907856e-05,0,32,[],0.010200566670391709,0.20564566666143946,['space'],110.28430619998835,110.28430619998835,0.20564566666143946,1.458916725989389,110.49330409997492,110.28430619998835,[-1.0935694000218064],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.2532710593279495,time,,,,1,32,[],0.011341866658767685,None,['space'],111.77472970000235,111.77472970000235,0.21037986665032804,1.4636509259782775,111.98925789998611,111.77472970000235,[-1.048923399997875],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,1.2532710593279495,time,210.0,1.57537690474601,0.00029474037109431287,0,33,[],0.01257386666839011,None,['space'],113.26451589999488,113.26451589999488,0.21170156667358242,1.4649726260015319,113.48407069998211,113.26451589999488,[-0.5540360999875702],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,1.2532710593279495,time,750.0,-1.0510366330832714,3.600958967636359e-05,0,34,[],0.010430766677018255,None,['space'],114.75587470000028,114.75587470000028,0.2054355666914489,1.4587066260193984,114.96197489998303,114.75587470000028,[-0.9252730000007432],,,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,0.16666666666666666,118.00596709997626,None,1.2805879317123197,frequency,141.0,2.517727013037722,0.0007753897988499695,0,26,[],0.0128907666367013,None,None,119.04899489998934,None,0.22661186664481647,1.5071997983571361,119.26313509998727,None,,116.24160879998817,None,,,,,,ofgjwt,002,fr,0,2022-04-27_17h32.26.159,Continuous,2022.1.1,None,
