sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,24.568378399999347,None,50.548698700004024,None,0.5833333333333334,52.54331330000423,None,1.5735902648365996,frequency,158.0,7.496005797912597,0.001016678480859461,0,26,[],0.0072941666294354945,0.19758806662866846,None,53.585356099996716,None,0.19758806662866846,1.771178331465268,53.78725169997779,None,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.884112619177924,frequency,236.0,4.41967229992319,0.0003242058238496083,0,27,[],0.00997376666055061,0.20288096665171906,None,55.37823410000419,55.37823410000419,0.20288096665171906,3.086993585829643,55.58753910000087,55.37823410000419,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.7213522465935174,frequency,354.0,-1.0,7.887248739356936e-05,0,28,[],0.008752066700253636,0.2017462666844949,None,58.49984069998027,58.49984069998027,0.2017462666844949,1.9230985132780123,58.7172410999774,58.49984069998027,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.188032069407358,frequency,530.0,0.8429480905695761,7.35688928627752e-05,0,29,[],0.012159466656157747,None,None,60.455318599997554,60.455318599997554,0.21132696664426476,2.3993590360516226,60.670905999984825,60.455318599997554,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.8355169973268024,frequency,794.0,-1.1619885020417042,3.3802411177962635e-05,0,30,[],0.012074966653017327,None,None,62.88508029998047,62.88508029998047,0.21355166664579883,2.0490686639726015,63.101589500001865,62.88508029998047,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.4405762428620486,frequency,1190.0,-0.08953285323191196,5.146634616211618e-05,0,31,[],0.012176166696008295,None,None,64.96019419998629,64.96019419998629,0.21312046668026596,1.6536967095423145,65.17085349999252,64.96019419998629,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.316864521439173,frequency,1783.0,-1.0,5.794339545753579e-05,0,32,[],0.012178466655313969,None,None,66.63986039999872,66.63986039999872,0.2105659666704014,2.5274304881095744,66.84718169999542,66.63986039999872,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.8888865255259373,frequency,2671.0,-1.9934156004038432,5.983360267707565e-05,0,33,[],0.012025366653688252,None,None,69.19197139999596,69.19197139999596,0.21118686665431596,2.1000733921802532,69.39722109999275,69.19197139999596,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.0030474385847796,frequency,,,,1,33,[],0.010989866685122252,0.20530076668364927,None,71.31277940000291,71.31277940000291,0.20530076668364927,2.208348205268429,71.52151900000172,71.31277940000291,,,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,0.5833333333333334,76.35943819998647,None,1.3104029004385767,both,236.0,-0.23309038643531554,0.0001897503902170678,0,26,[],0.012940166692715138,None,None,77.39516829999047,None,0.21855656668776646,1.5289594671263431,77.60539429998607,None,73.54568029998336,None,,ofgjwt,001,fr,0,2022-04-27_17h26.18.186,Continuous,2022.1.1,None,
