sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,feedback.rt,Audiogram_both,Audiogram_frequency,Audiogram_none,Audiogram_time,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.51947270000005,None,75.12785970000004,None,0.3333333333333333,77.1391536000001,None,2.0834316028984547,frequency,1516.0,-4.153178651829245,3.07820303206752e-05,0,26,[],0.023893830000133676,None,None,78.15119060000006,None,0.24893272999997862,2.3323643328984334,78.37314079999987,None,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,1,0,1,0,,,,,,,,1.7336182087387213,frequency,1203.0,-2.942122424923342,3.7446534817247746e-05,0,27,[],0.024766329999920345,None,None,80.45571889999997,80.45571889999997,0.24287583000000268,1.976494038738724,80.67801869999994,80.45571889999997,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,2,0,2,0,,,,,,,,1.3778712441580412,frequency,955.0,2.0539389391036122,5.418403401114347e-05,0,28,[],0.01827572999968652,None,None,82.40149700000006,82.40149700000006,0.23124462999976458,1.6091158741578058,82.62704740000004,82.40149700000006,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,3,0,3,0,,,,,,,,1.4575719343368891,frequency,758.0,-2.9188686739525327,2.878206983902071e-05,0,29,[],0.024874429999954373,None,None,83.99734560000002,83.99734560000002,0.24678172999983872,1.7043536643367279,84.222217,83.99734560000002,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,4,0,4,0,,,,,,,,1.6525410282388555,frequency,602.0,-0.743612671451082,5.0976245203008825e-05,0,30,[],0.01708792999988873,None,None,85.67246320000004,85.67246320000004,0.23131403000002138,1.883855058238877,85.90032840000003,85.67246320000004,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,5,0,5,0,,,,,,,,2.957497258376976,frequency,478.0,-6.701362001770107,3.3549186965890646e-05,0,31,[],0.024137430000109816,None,None,87.54530240000008,87.54530240000008,0.2450607299999774,3.2025579883769533,87.7704768000001,87.54530240000008,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,6,0,6,0,,,,,,,,2.9525082804305356,frequency,379.0,-8.0,3.264724102951903e-05,0,32,[],0.024729929999693923,None,None,90.72063639999988,90.72063639999988,0.24534402999961458,3.19785231043015,90.9446524,90.72063639999988,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,7,0,7,0,,,,,,,,2.716664428572747,frequency,301.0,-0.7359272584418779,0.00010423632572952924,0,33,[],0.02475402999994003,None,None,93.89228559999992,93.89228559999992,0.25675862999992205,2.973423058572669,94.12857149999991,93.89228559999992,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,8,0,8,0,,,,,,,,2.998728957465244,frequency,239.0,1.1868524820495532,0.00021671157680668701,0,34,[],0.018102129999988392,None,None,96.8333642,96.8333642,0.2309388300000137,3.2296677874652575,97.06332610000004,96.8333642,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,9,0,9,0,,,,,,,,2.3932758183051748,frequency,190.0,-5.744943910615078,0.00015579777335947674,0,35,[],0.024494530000083614,None,None,100.04943159999993,100.04943159999993,0.24671443000011095,2.6399902483052857,100.27363280000009,100.04943159999993,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,10,0,10,0,,,,,,,,2.1636265324820494,frequency,151.0,-1.0617974280903806,0.0004347201262822917,0,36,[],0.02459712999984731,None,None,102.66379549999988,102.66379549999988,0.24312212999984695,2.4067486624818963,102.88772440000002,102.66379549999988,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
0,0,0,0,11,0,11,0,,,,,,,,1.8163822966844596,frequency,,,,1,36,[],0.022936329999993177,None,None,105.04054189999988,105.04054189999988,0.23968573000001925,2.056068026684479,105.2684961,105.04054189999988,,,,,,,,,,,cwzopc,001,english,0,2022-07-20_10h39.46.286,Continuous,2022.1.1,34.12413746977165,
