sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.112044899957255,None,44.48095909995027,None,0.16666666666666666,46.33188379998319,None,2.899725163425523,frequency,151.0,-7.473204052796261,0.00020779706828381894,0,26,[],0.024998469976708293,None,None,47.34031060000416,None,0.23391087003983557,3.1336360334653586,47.55468800000381,None,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.5387537514998657,frequency,169.0,-4.2392064027169525,0.00023223409906123396,0,27,[],0.025460770004428923,None,None,50.47507909999695,50.47507909999695,0.232684770016931,2.7714385215167967,50.693141900002956,50.47507909999695,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.7747489971474346,frequency,190.0,-4.2700120005437245,0.00018463236895345338,0,28,[],0.024492170079611242,None,None,53.253687000018544,53.253687000018544,0.22649517003446817,3.001244167181903,53.47444819996599,53.253687000018544,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.2583976661624445,frequency,213.0,-1.262547074002737,0.00020750787229167775,0,29,[],0.025795469991862774,None,None,56.27222109993454,56.27222109993454,0.230251369997859,1.4886490361603035,56.49246099998709,56.27222109993454,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.7597407905697426,frequency,239.0,-6.904235960158857,8.53744050036046e-05,0,30,[],0.023493270040489733,None,['space'],57.77435939991847,57.77435939991847,0.22974146995693445,1.989482260526677,57.99028029991314,57.77435939991847,[-1.0566053999355063],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.8521284516605134,frequency,268.0,-6.058500855954693,7.388358314169628e-05,0,31,[],0.025076970108784735,None,['space'],59.77598539995961,59.77598539995961,0.22936447011306882,3.0814929217735822,59.996004199958406,59.77598539995961,[-1.3378160999855027],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.558788985757248,frequency,301.0,1.4927140651743533,0.00013472592080318143,0,32,[],0.025340070016682148,None,['space'],62.86627309990581,62.86627309990581,0.2326518699992448,1.7914408557564927,63.08335550001357,62.86627309990581,[-2.50034169992432],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.0892394992746208,frequency,338.0,-2.6814545483171965,6.804141024191804e-05,0,33,[],0.01800287002697587,0.21290227002464235,['space'],64.66936239995994,64.66936239995994,0.21290227002464235,1.3021417692992632,64.8856457999209,64.66936239995994,[-0.5508466999744996],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.756400919349425,frequency,379.0,-8.0,3.264724102951903e-05,0,34,[],0.025506470003165305,None,['space'],65.99924469995312,65.99924469995312,0.23189297004137188,1.9882938893907969,66.21795039996505,65.99924469995312,[0.007000899990089238],,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.5021671726388486,frequency,425.0,-4.571624579511757,4.447140088025205e-05,0,35,[],0.02549666992854327,None,None,67.99175970000215,67.99175970000215,0.234379870002158,1.7365470426410066,68.20693430001847,67.99175970000215,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,2.1819149455299156,frequency,477.0,-0.09254733766712864,7.185027231638422e-05,0,36,[],0.02301827003248036,None,None,69.7367862999672,69.7367862999672,0.22320817003492266,2.4051231155648383,69.9566842999775,69.7367862999672,,,,,moiern,001,fr,0,2022-07-08_14h22.59.036,Continuous,2022.1.1,None,
