sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,51.64441589999478,None,58.93980049993843,None,"[0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333]",63.36978189996444,None,2.085596609909964,none,4925.0,0.0,0.00014758561655417712,0,45,[],0.02220012992620468,0.2174966299207881,None,64.38077339995652,None,0.2174966299207881,2.303093239830752,64.58980610000435,None,,,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,1,0,1,0,,,,,,,,2.879688583143951,none,1304.0,0.8340444172191006,5.8527139074198105e-05,0,46,[],0.022859330056235194,None,['space'],66.66689559991937,66.66689559991937,0.2315801300574094,3.1112687132013606,66.88712949992623,66.66689559991937,[-0.9599722999846563],,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,2,0,2,0,,,,,,,,2.506529848963762,none,3287.0,-0.8462756336281476,6.479345658040391e-05,0,47,[],0.022620429983362556,None,['space'],69.76326119992882,69.76326119992882,0.22844622994307429,2.7349760789068362,69.97658949997276,69.76326119992882,[-2.7036324000218883],,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,3,0,3,0,,,,,,,,2.341801456703219,none,1954.0,3.3068255349904616,0.00010643468209332193,0,48,[],0.022898429888300598,None,['space'],72.47396400000434,72.47396400000434,0.23036262998357415,2.572164086686793,72.6947640000144,72.47396400000434,[-2.2958861000370234],,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,4,0,4,0,,,,,,,,2.5534540732105757,none,461.0,0.09617134219242052,7.425509891809718e-05,0,49,[],0.022538830060511827,None,['space'],75.0383008000208,75.0383008000208,0.2455035300226882,2.798957603233264,75.26472520001698,75.0383008000208,[-2.1878352999920025],,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,5,0,5,0,,,,,,,,1.472040686037381,none,581.0,-0.7537979989140835,5.3920193445561794e-05,0,50,[],0.021179530071094632,None,['space'],77.80807489994913,77.80807489994913,0.2377487301127985,1.7097894161501794,78.02884479996283,77.80807489994913,[-2.3974821999436244],,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,6,0,6,0,,,,,,,,2.9229581815948826,none,870.0,1.4412465929758027,4.7641749452058396e-05,0,51,[],0.014007130055688322,None,['space'],79.49850520002656,79.49850520002656,0.22877713001798838,3.151735311612871,79.72503560001496,79.49850520002656,[-1.2873554000398144],,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,7,0,7,0,,,,,,,,1.3697972845169482,none,,,,1,51,[],0.022439630003646016,0.21694742992985994,['space'],82.64688739995472,82.64688739995472,0.21694742992985994,1.586744714446808,82.85261729999911,82.64688739995472,[-2.7484438000246882],,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,8,0,8,0,,,,,,,,1.064318738273899,none,308.0,0.5940980152861153,0.00011354351407904464,0,52,[],0.02397103002294898,None,None,84.2240275000222,84.2240275000222,0.22121752996463329,1.2855362682385323,84.43931089993566,84.2240275000222,,,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,9,0,9,0,,,,,,,,1.9467985221563067,none,7379.0,0.5142878816681296,0.0001726402620863514,0,53,[],0.021670729969628155,0.21536083007231355,None,85.50099520001095,85.50099520001095,0.21536083007231355,2.1621593522286204,85.7033774999436,85.50099520001095,,,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
0,0,0,0,10,0,10,0,,,,,,,,1.2260893441999297,none,2928.0,-1.9211368521916796,4.7531850285616584e-05,0,54,[],0.02161533001344651,None,['space'],87.6522901999997,87.6522901999997,0.24315663008019328,1.469245974280123,87.87640880001709,87.6522901999997,[-1.6975970999337733],,,,,,,,,,moiern,001,fr,1,2022-07-08_14h28.56.466,Continuous,2022.1.1,35.9595814257947,
