sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_both,Audiogram_none,Audiogram_time,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,15.554326500045136,None,49.68220690009184,None,0.16666666666666666,51.867452200036496,None,2.4987480748966138,both,141.0,1.5051569773390425,0.0006900675115807317,0,27,[],0.015270589967258275,None,None,52.88153020001482,None,0.21405518997926265,2.7128032648758764,53.09794850007165,None,,,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,1,0,1,0,,,,,,,,2.4987480748966138,both,158.0,0.3521997987911707,0.00044667673333605455,0,28,[],0.022710990044288337,None,None,55.59501120005734,55.59501120005734,0.22509289009030908,2.723840964986923,55.80632910004351,55.59501120005734,,,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,2,0,2,0,,,,,,,,2.4987480748966138,both,177.0,-0.47794142805050743,0.0003305116312852302,0,29,[],0.022971790051087737,None,['space'],58.30366610002238,58.30366610002238,0.22670509002637118,2.725453164922985,58.521207300014794,58.30366610002238,[-2.112516099936329],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,3,0,3,0,,,,,,,,2.4987480748966138,both,199.0,2.62292239016956,0.00036394379282491974,0,30,[],0.02276628988329321,None,['space'],61.015870000002906,61.015870000002906,0.22809508990030736,2.726843164796921,61.23092160001397,61.015870000002906,[-2.0081311999820173],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,4,0,4,0,,,,,,,,2.4987480748966138,both,223.0,0.9317874178246277,0.0002453370995175509,0,31,[],0.022703789989463985,None,['space'],63.721274200011976,63.721274200011976,0.22942999005317688,2.7281780649497906,63.94371480005793,63.721274200011976,[-2.2173148000147194],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,5,0,5,0,,,,,,,,2.4987480748966138,both,250.0,2.62081320289255,0.00022646999185964807,0,32,[],0.02223778993356973,None,['space'],66.43493900005706,66.43493900005706,0.2284266899805516,2.7271747648771654,66.64819980005268,66.43493900005706,[-2.3884607000509277],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,6,0,6,0,,,,,,,,2.4987480748966138,both,281.0,5.276076187982901,0.00024716175611432477,0,33,[],0.022737990017049015,None,['space'],69.143968300079,69.143968300079,0.22796189005021006,2.726709964946824,69.35080900008325,69.143968300079,[-2.344810700044036],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,7,0,7,0,,,,,,,,2.4987480748966138,both,315.0,7.3462858884541244,0.0002297652249816843,0,34,[],0.022089290083386004,None,['space'],71.85168439999688,71.85168439999688,0.22294179000891745,2.721689864905531,72.0678207000019,71.85168439999688,[-2.4117271999130026],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,8,0,8,0,,,,,,,,2.4987480748966138,both,354.0,-1.0,7.887248739356936e-05,0,35,[],0.022638590075075626,None,['space'],74.5624981999863,74.5624981999863,0.2269335900200531,2.725681664916667,74.78308760002255,74.5624981999863,[-2.434996100026183],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
0,0,0,0,9,0,9,0,,,,,,,,2.4987480748966138,both,397.0,5.018086374954692,0.00013780668964954822,0,36,[],0.02251338993664831,None,['space'],77.27165310003329,77.27165310003329,0.22605818998999894,2.7248062648866127,77.48752900003456,77.27165310003329,[-2.472872699960135],,,,,,,,,,udoety,001,fr,0,2022-05-03_11h33.02.726,Continuous,2022.1.1,35.49539322774955,
