sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_both,Audiogram_time,Audiogram_frequency,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.212818500003777,None,53.572627300047316,None,"[0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]",56.87920650001615,None,1.3315727202736014,time,501.0,0.8870150638428121,7.895350843721583e-05,0,28,[],0.022796769975684583,None,None,57.90773810003884,None,0.21636206994298846,1.5479347902165899,58.11423930001911,None,,,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,1.3315727202736014,time,132.0,3.2151841486519395,0.0009562388539262816,0,29,[],0.01638787006959319,None,['space'],59.472125399974175,59.472125399974175,0.21495387004688382,1.5465265903204852,59.690980699961074,59.472125399974175,[-1.1209398999344558],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.3315727202736014,time,446.0,1.975620253959961,9.3155365880486e-05,0,30,[],0.022900670068338513,None,None,61.05259470001329,61.05259470001329,0.2384274700889364,1.5700001903625378,61.270361199975014,61.05259470001329,,,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.3315727202736014,time,250.0,-0.49799860997199463,0.00015815031957651068,0,31,[],0.015522570116445422,None,['space'],62.627948399982415,62.627948399982415,0.23704037012066692,1.5686130903942683,62.85797440004535,62.627948399982415,[-0.9645531000569463],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.3315727202736014,time,1001.0,1.4001148313843563,5.1806935826103545e-05,0,32,[],0.016747570014558733,None,['space'],64.21180419996381,64.21180419996381,0.22539457003585994,1.5569672903094613,64.43345030001365,64.21180419996381,[-0.9805170999607071],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.3315727202736014,time,354.0,2.0,0.00011141034968120162,0,33,[],0.02300327003467828,None,['space'],65.7912798000034,65.7912798000034,0.23245997005142272,1.5640326903250241,66.01106000004802,65.7912798000034,[-0.8624437999678776],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.3315727202736014,time,708.0,0.5584779563691946,4.726818323783117e-05,0,34,[],0.020472969976253808,None,['space'],67.35909499996342,67.35909499996342,0.21935377002228051,1.550926490295882,67.58254109998234,67.35909499996342,[-1.1834728000685573],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.3315727202736014,time,631.0,1.1356837296222262,5.821155507446757e-05,0,35,[],0.01350006996653974,None,['space'],68.9364430999849,68.9364430999849,0.22067596996203065,1.552248690235632,69.15538740006741,68.9364430999849,[-1.1443614999298006],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.3315727202736014,time,198.0,0.8263899466459239,0.0002999482430878675,0,36,[],0.022973670158535242,None,['space'],70.51267490000464,70.51267490000464,0.2302990701282397,1.561871790401841,70.72445360000711,70.51267490000464,[-1.2643425000132993],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.3315727202736014,time,,,,1,36,[],0.02293247007764876,None,['space'],72.08287939999718,72.08287939999718,0.24596027005463839,1.5775329903282398,72.3066276999889,72.08287939999718,[-1.2824718001065776],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,1.3315727202736014,time,892.0,0.8297865352789688,4.509120554882111e-05,0,37,[],0.024275270057842135,None,['space'],73.65756630001124,73.65756630001124,0.2388675700640306,1.570440290337632,73.87930889998097,73.65756630001124,[-1.208973899949342],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
0,0,0,0,11,0,11,0,,,,,,,,1.3315727202736014,time,315.0,-0.14096805634907383,9.70334787399334e-05,0,38,[],0.022390069905668497,None,['space'],75.23556880000979,75.23556880000979,0.23145676997955889,1.5630294902531603,75.44406460004393,75.23556880000979,[-1.2202595999697223],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,88.95503319997806,None,2.248340773883106,frequency,708.0,1.7821150891141184,5.4419026328319315e-05,0,28,[],0.0239265700802207,None,None,89.97565300005954,None,0.21774757013190538,2.466088344015011,90.18021330004558,None,,76.79729240003508,None,0.16666666666666666,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.141662226585507,frequency,631.0,0.6018355261656468,5.47415122931247e-05,0,29,[],0.02213806996587664,None,None,92.45651769998949,92.45651769998949,0.22814687003847212,2.369809096623979,92.68424800003413,92.45651769998949,,,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.37640519264676,frequency,562.0,0.09119037700864777,6.242462274723426e-05,0,30,[],0.015692570130340755,None,['space'],94.84296769998036,94.84296769998036,0.22336917009670287,2.599774362743463,95.0646975999698,94.84296769998036,[-1.9796396000310779],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.8413489864705648,frequency,501.0,0.6651720422831388,7.696252050889216e-05,0,31,[],0.022222970030270517,None,['space'],97.46254219999537,97.46254219999537,0.22898347000591457,2.0703324564764793,97.68891100003384,97.46254219999537,[-2.2793217999860644],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,2.0537859247528205,frequency,446.0,0.453784097515887,7.818367277643755e-05,0,32,[],0.015867369947955012,None,['space'],99.54865829995833,99.54865829995833,0.21756766992621124,2.2713535946790318,99.7647614000598,99.54865829995833,[-1.7892405999591574],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.3899371686918018,frequency,397.0,1.492739328592406,9.183388302407194e-05,0,33,[],0.021936170058324933,None,['space'],101.85789730004035,101.85789730004035,0.23672237002756447,1.6266595387193663,102.07354849996045,101.85789730004035,[-2.0339422000106424],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.4616806904059723,frequency,354.0,2.0,0.00011141034968120162,0,34,[],0.02285377006046474,None,['space'],103.50072270003147,103.50072270003147,0.22122597007546574,1.682906660481438,103.69971610000357,103.50072270003147,[-1.2769511000951752],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.3977937679628663,frequency,315.0,-0.5749569005665656,9.230434807247964e-05,0,35,[],0.022370370104908943,None,['space'],105.18799590005074,105.18799590005074,0.2306436700746417,1.628437438037508,105.40568580001127,105.18799590005074,[-1.332765500061214],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.2511532821673583,frequency,281.0,0.3756448855984904,0.00014059170803015753,0,36,[],0.02271757007110864,None,['space'],106.83231289999094,106.83231289999094,0.2312534700613469,2.482406752228705,107.05421630002093,106.83231289999094,[-1.3451250999933109],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,9,0,9,0,,,,,,,,2.6658469211634435,frequency,250.0,-2.1375246284969642,0.0001309464632221016,0,37,[],0.022553570102900267,None,"['space', 'space']",109.32625739998184,109.32625739998184,0.2330347701208666,2.89888169128431,109.53749809996225,109.32625739998184,"[-2.2064105999888852, -0.41516759991645813]",,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,10,0,10,0,,,,,,,,2.7529488687499546,frequency,223.0,0.06676033915647706,0.00022208123945414423,0,38,[],0.022464670008048415,None,None,112.23595620004926,112.23595620004926,0.2169932700926438,2.9699421388425984,112.44703010004014,112.23595620004926,,,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,11,0,11,0,,,,,,,,2.2595161677726034,frequency,199.0,1.1555748800354915,0.00030737386723518986,0,39,[],0.015956470044329762,None,['space'],115.22993250004947,115.22993250004947,0.22010427003260702,2.4796204378052105,115.44483960000798,115.22993250004947,[-2.685464799986221],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
1,0,1,0,12,0,12,0,,,,,,,,1.4860761941263014,frequency,,,,1,39,[],0.022449970128946006,None,['space'],117.73454219999257,117.73454219999257,0.23606677004136145,1.7221429641676629,117.95277049997821,117.73454219999257,[-2.0071729000192136],,,,,,,,,,hoavur,001,fr,0,2022-05-04_15h53.14.005,Continuous,2022.1.1,None,
