sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_frequency,Audiogram_none,Audiogram_both,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,2.0523607836255833,frequency,1123.0,11.640096495089415,0.00018790789752741704,0,66,[],0.0044006666666973615,None,None,105.79854319999959,105.79854319999959,0.20916606666651205,2.2615268502920953,106.01869569999963,105.79854319999959,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,5,0,5,0,,,,,,,,2.4203278663522854,frequency,,,,1,66,[],0.011658066666313971,None,None,108.0686012999995,108.0686012999995,0.22010706666605984,2.640434933018345,108.28320619999977,108.0686012999995,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,6,0,6,0,,,,,,,,1.4867999682018704,frequency,501.0,16.186613072581327,0.000459569643342174,0,67,[],0.01188076666676352,None,None,110.70030859999952,110.70030859999952,0.22345786666755885,1.7102578348694293,110.9154695999996,110.70030859999952,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,7,0,7,0,,,,,,,,2.191883959974743,frequency,334.0,18.499599464270677,0.0007882546934445733,0,68,[],0.01012076666665962,None,None,112.39837159999934,112.39837159999934,0.21901076666654262,2.4108947266412857,112.61461809999946,112.39837159999934,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
1,0,1,0,8,0,8,0,,,,,,,,1.3436978394796244,frequency,223.0,13.355145225519312,0.0010254892614010088,0,69,[],0.011190066666131315,None,None,114.8013903000001,114.8013903000001,0.22098266666580457,1.564680506145429,115.01477019999948,114.8013903000001,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
2,0,2,0,0,0,0,0,,,,,"[0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333]",121.30479949999972,None,1.980987411484799,time,256.0,17.049642560914013,0.0011472246505883441,0,36,[],0.01264646666641056,None,None,122.33139630000005,None,0.23434306666695193,2.215330478151751,122.54848529999981,None,,116.35562489999938,None,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
2,0,2,0,1,0,1,0,,,,,,,,1.980987411484799,time,431.0,14.674872708018194,0.00040610030114655626,0,37,[],0.009914366666635033,None,None,124.52294369999981,124.52294369999981,0.21975406666661002,2.200741478151409,124.7394734999998,124.52294369999981,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
2,0,2,0,2,0,2,0,,,,,,,,1.980987411484799,time,144.0,13.86658840682712,0.0027321159537330407,0,38,[],0.009563166666339384,None,None,126.7165387999994,126.7165387999994,0.21615516666679468,2.1971425781515936,126.9357202000001,126.7165387999994,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
2,0,2,0,3,0,3,0,,,,,,,,1.980987411484799,time,,,,1,38,[],0.011115766666080162,None,None,128.90980989999935,128.90980989999935,0.22812436666663416,2.209111778151433,129.1297470999998,128.90980989999935,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
2,0,2,0,4,0,4,0,,,,,,,,1.980987411484799,time,181.0,14.0,0.0016771719360533467,0,39,[],0.012025366666421178,None,None,131.10200970000005,131.10200970000005,0.2196212666667634,2.2006086781515624,131.32373449999977,131.10200970000005,,,,,,,,,ikieoz,001,fr,1,2022-04-25_17h04.55.564,Continuous,2022.1.1,33.435914719753846,
