sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,14.280441899999914,None,36.52183890000015,None,0.3333333333333333,39.16940629999999,None,1.4241464707631435,both,707.1067811865478,15.959823242103552,0.0002788707508183657,0,26,[],0.022434810000049765,None,None,40.18676069999992,None,0.22511471000007077,1.6492611807632143,40.392568499999925,None,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
0,0,0,0,1,0,1,0,,,,,,,,1.4241464707631435,both,561.2310241546867,19.0,0.0005516186936588643,0,27,[],0.015195609999864246,None,['space'],41.81878599999982,41.81878599999982,0.2051542099998187,1.6293006807629622,42.03087030000006,41.81878599999982,[0.03992149999976391],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
0,0,0,0,2,0,2,0,,,,,,,,1.4241464707631435,both,,,,1,27,[],0.022480210000139778,None,None,43.45493149999993,43.45493149999993,0.22372431000030701,1.6478707807634505,43.67080619999979,43.45493149999993,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
0,0,0,0,3,0,3,0,,,,,,,,1.4241464707631435,both,353.55339059327383,21.31654155811392,0.001031148549271461,0,28,[],0.02363301000013962,None,None,45.09429890000001,45.09429890000001,0.22380061000012574,1.6479470807632692,45.31315730000006,45.09429890000001,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
0,0,0,0,4,0,4,0,,,,,,,,1.4241464707631435,both,280.6155120773433,21.379958013496015,0.001583023100912163,0,29,[],0.022469509999609727,None,['space'],46.726040099999864,46.726040099999864,0.22093990999974267,1.6450863807628862,46.931201299999884,46.726040099999864,[-0.786833900000147],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
0,0,0,0,5,0,5,0,,,,,,,,1.4241464707631435,both,222.72467953508485,17.03457969763959,0.001570234527836984,0,30,[],0.02086821000011696,0.21635771000001114,['space'],48.35491150000007,48.35491150000007,0.21635771000001114,1.6405041807631546,48.562072400000034,48.35491150000007,[-0.4650031000001036],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
0,0,0,0,6,0,6,0,,,,,,,,1.4241464707631435,both,176.7766952966369,19.0,0.003119565241000184,0,31,[],0.022369610000168905,0.22061561000009533,None,49.98939509999991,49.98939509999991,0.22061561000009533,1.6447620807632388,50.19358289999991,49.98939509999991,,,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
0,0,0,0,7,0,7,0,,,,,,,,1.4241464707631435,both,140.3077560386716,18.278641296173287,0.0048100986510920575,0,32,[],0.022250310000345053,None,['space'],51.618215800000144,51.618215800000144,0.2239410100000896,1.648087480763233,51.83092339999985,51.618215800000144,[-0.9431349000001319],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
1,0,1,0,0,0,0,0,,,,,,57.632173800000146,None,1.470436707579091,none,140.3077560386716,18.398456158824715,0.004876909837759246,0,26,[],0.019272010000349837,0.2150126100000307,None,58.63614409999991,None,0.2150126100000307,1.6854493175791216,58.84796490000008,None,,53.257324900000185,None,"[0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334]",ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
1,0,1,0,1,0,1,0,,,,,,,,1.702103375960701,none,222.72467953508485,18.58335359897208,0.001876736142884085,0,27,[],0.02163241000016569,None,['space'],60.31566609999982,60.31566609999982,0.2220736100002796,1.9241769859609805,60.52561349999996,60.31566609999982,[-1.0167560000004414],,,,ikieoz,001,fr,2022-04-25_16h03.39.711,Continuous,2022.1.1,37.5083362276789,
