practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.rt,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,2462.2888266898335,0.0,8.505946547995337e-05,False,0.014825666643446311,None,['space'],1,[0.6562988000223413],266.6852402999939,267.708907799999,None,1,267.708907799999,266.6852402999939,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,574.3491774985172,0.0,5.984619860562044e-05,False,0.0031015333079267293,0.1895639333233703,None,0,,270.95688859999063,271.95913609999116,None,1,271.95913609999116,270.95688859999063,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,5278.031643091578,-9.0,5.055852040547311e-05,False,0.0007483666704501957,0.1884832666546572,['space'],1,[0.43625860000611283],276.04180929998984,277.06216899998253,None,1,277.06216899998253,276.04180929998984,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.013982833304908127,None,None,0,,278.3252337999875,279.3390346999804,None,1,279.3390346999804,278.3252337999875,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,1414.213562373095,-3.0,3.570336253224866e-05,False,0.010481733304914087,None,None,0,,281.79513990000123,282.80454610000015,None,1,282.80454610000015,281.79513990000123,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,329.87697769322364,4.0,0.0001501827984989875,False,0.0017737333255354315,None,None,0,,286.57802369998535,287.58091109999805,None,1,287.58091109999805,286.57802369998535,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,164.93848884661182,5.0,0.0006991046927313053,False,0.013346133317099884,None,None,0,,290.36455839997507,291.37233889999334,None,1,291.37233889999334,290.36455839997507,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,757.8582832551998,-1.0,3.590334647509541e-05,False,0.014644500013673678,None,['space'],1,[0.719787100009853],293.8853381999943,294.88193189998856,None,1,294.88193189998856,293.8853381999943,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,1866.0659830736151,-1.0,6.12861988184373e-05,False,0.005899166688323021,0.19420226669171825,['space'],1,[0.5629175999783911],297.4984193999844,298.5125554999977,None,1,298.5125554999977,297.4984193999844,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.01346373333944939,None,['space'],1,[0.7173892999999225],300.880379499984,301.89054849999957,None,1,301.89054849999957,300.880379499984,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
