practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.rt,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.014273500011768192,None,['space'],1,[0.382492300006561],192.4626556999865,193.4649484999827,None,1,193.4649484999827,192.4626556999865,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.011349733307724819,None,None,0,,195.50811019999674,196.52058939999552,None,1,196.52058939999552,195.50811019999674,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,-10,1.7336842522626584e-05,False,0.016391899989685044,None,None,0,,198.60472509998363,199.6141329999955,None,1,199.6141329999955,198.60472509998363,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,10,0.00017336842522626576,False,0.015947600011713803,None,['space'],1,[0.3763714999950025],201.3651520999847,202.38248619998922,None,1,202.38248619998922,201.3651520999847,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,-10,2.6544222211549425e-05,False,0.01475100000970997,None,None,0,,204.28002629999537,205.2960806999763,None,1,205.2960806999763,204.28002629999537,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.01308593331486918,None,None,0,,206.35741519997828,207.3872886999743,None,1,207.3872886999743,206.35741519997828,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,10,0.00026544222211549425,False,0.016421300009824336,None,['space'],1,[0.543475300015416],209.77440379999462,210.76876330000232,None,1,210.76876330000232,209.77440379999462,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",6000,-10,3.664122665694518e-05,False,0.00742280000122264,None,['space'],1,[0.570760300004622],212.9304690999852,213.9389454999764,None,1,213.9389454999764,212.9304690999852,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",8000,-10,5.740768107484415e-05,False,0.0069380000059027225,None,None,0,,216.52713789997506,217.53386889997637,None,1,217.53386889997637,216.52713789997506,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [8000, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",8000,0,0.0001815390273850507,False,0.014429800008656457,None,['space'],1,[0.525931500014849],219.69594209999195,220.70240899999044,None,1,220.70240899999044,219.69594209999195,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [8000, -10], [8000, 0]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",750,-10,1.2851978913844322e-05,False,0.012530799984233454,None,None,0,,222.13395779998973,223.1478084999835,None,1,223.1478084999835,222.13395779998973,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [8000, -10], [8000, 0], [750, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",750,10,0.00012851978913844324,False,0.006467100000008941,None,['space'],1,[0.3747917000146117],224.3107189000002,225.31726409998373,None,1,225.31726409998373,224.3107189000002,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [8000, -10], [8000, 0], [750, -10], [750, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.012075433332938701,None,None,0,,226.35083009998198,227.36618969999836,None,1,227.36618969999836,226.35083009998198,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [4000, -10], [4000, 10], [6000, -10], [8000, -10], [8000, 0], [750, -10], [750, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",500,-10,2.259279721874613e-05,False,0.016189133311854675,None,None,0,,229.24473330000183,230.24705179999,None,1,230.24705179999,229.24473330000183,,,ofgjwt,001,fr,200,2022-04-27_16h01.42.039,Bayesian,2022.1.1,None,
