sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_none,Audiogram_frequency,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,31.744907999993302,None,47.58852820005268,None,"[0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]",50.06016360002104,None,2.9428640148463234,none,530.0,15.943668175563367,0.000418533499420381,0,26,[],0.012085566762834787,None,None,51.09651960001793,None,0.2394343668129295,3.182298381659253,51.32685310009401,None,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,1,0,1,0,,,,,,,,1.2583309745351559,none,,,,1,26,[],0.011126066674478352,None,['space'],54.255274299997836,54.255274299997836,0.2142594667384401,1.472590441273596,54.477389900013804,54.255274299997836,[-1.5044834000291303],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,2,0,2,0,,,,,,,,1.6088955505663438,none,210.0,17.690236867815553,0.0018844413448443201,0,27,[],0.013119366834871471,None,None,55.730605000047944,55.730605000047944,0.2219507668633014,1.8308463174296452,55.94474030006677,55.730605000047944,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,3,0,3,0,,,,,,,,2.3582011352745416,none,133.0,16.158363384652198,0.0041863046264087374,0,28,[],0.011986166704446077,None,['space'],57.55164040008094,57.55164040008094,0.22960076667368412,2.5878019019482257,57.770239300094545,57.55164040008094,[-1.4417985000181943],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,4,0,4,0,,,,,,,,1.0271772183486438,none,842.0,13.567135861690383,0.00018863954851270758,0,29,[],0.01188366673886776,None,None,60.11875030002557,60.11875030002557,0.21991566673386842,1.2470928850825123,60.33371919998899,60.11875030002557,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,5,0,5,0,,,,,,,,1.9740113562576307,none,187.0,18.134568542807944,0.0025233553486913875,0,30,[],0.011755866813473403,None,['space'],61.35636249999516,61.35636249999516,0.22247416677419096,2.1964855230318214,61.57462440000381,61.35636249999516,[-0.11022379994392395],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,6,0,6,0,,,,,,,,2.596125389601113,none,668.0,13.513705209315113,0.0002266766421153103,0,31,[],0.011748566757887602,None,None,63.54832860000897,63.54832860000897,0.20268136670347303,2.798806756304586,63.75713780010119,63.54832860000897,,,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,7,0,7,0,,,,,,,,2.7312666019127683,none,1501.0,12.71765866674063,0.00020922416564963066,0,32,[],0.011417166562750936,None,['space'],66.34642110008281,66.34642110008281,0.21761936659459025,2.9488859685073585,66.57054079999216,66.34642110008281,[-1.8364453000249341],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,8,0,8,0,,,,,,,,1.1765169595968266,none,1061.0,14.584915263592004,0.0002498434729477894,0,33,[],0.0062823668122291565,None,['space'],69.29242820001673,69.29242820001673,0.2096597667550668,1.3861767263518934,69.51077910000458,69.29242820001673,[-1.9979148000711575],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
0,0,0,0,9,0,9,0,,,,,,,,2.5135675250259903,none,1337.0,8.706730895239144,0.00014264200063849848,0,34,[],0.009573366725817323,None,['space'],70.69051320001017,70.69051320001017,0.2216332667740062,2.7352007917999965,70.91235190001316,70.69051320001017,[-0.7399994999868795],,,,,,rdzaqd,001,fr,0,2022-05-06_15h06.45.512,Continuous,2022.1.1,34.900396010048766,
