sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_both,Audiogram_none,Audiogram_frequency,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,26.935792500007665,None,69.80248519999441,None,0.3333333333333333,72.63924560000305,None,1.2212619900239012,frequency,1416.0,1.426709289116372,5.9383048294134287e-05,0,28,[],0.007124666648451239,0.1978445666609332,None,73.68482249998488,None,0.1978445666609332,1.4191065566848344,73.88708489999408,None,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,1.0432673145834954,frequency,1124.0,3.9347524158992284,7.745454496245551e-05,0,29,[],0.011925966682611033,None,None,75.13693320000311,75.13693320000311,0.2174138666887302,1.2606811812722256,75.35046529999818,75.13693320000311,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.4440001344208366,frequency,892.0,7.3149873441251,9.513753333228244e-05,0,30,[],0.01224486663704738,None,None,76.415763099998,76.415763099998,0.21065596662811004,1.6546561010489467,76.62955220000003,76.415763099998,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.11602633063557,frequency,708.0,5.559482310501133,8.406575700890462e-05,0,31,[],0.0120078666950576,None,['space'],78.0981741999858,78.0981741999858,0.21808716669329442,2.3341134973288646,78.32147180000902,78.0981741999858,[-1.1660416000231635],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.9429259409595618,frequency,562.0,8.713458362433471,0.00016844934465509975,0,32,[],0.0037723666755482554,None,None,80.46345899999142,80.46345899999142,0.20323916667257436,2.146165107632136,80.6806346999947,80.46345899999142,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.076230077571153,frequency,446.0,9.847917107014965,0.00023058057538679927,0,33,[],0.011489966651424766,None,['space'],82.65346339999815,82.65346339999815,0.2156111666408833,1.2918412442120364,82.86550879999413,82.65346339999815,[-1.4498191000020597],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.683712103308113,frequency,354.0,9.0,0.00024941670488659655,0,34,[],0.011981766641838476,None,['space'],83.96757169999182,83.96757169999182,0.21223526663379744,2.8959473699419105,84.18156289999024,83.96757169999182,[-0.8751053999876603],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.5603741399903486,frequency,281.0,10.743074897206307,0.0004638004949128652,0,35,[],0.011416866647778079,None,"['space', 'space']",86.89390090000234,86.89390090000234,0.22942536664777435,2.789799506638123,87.11410209999303,86.89390090000234,"[-2.377329800016014, -0.34555870000622235]",,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.5613465513872307,frequency,,,,1,35,[],0.012118666665628552,None,['space'],89.69719909998821,89.69719909998821,0.21817776665557176,1.7795243180428024,89.91233230000944,89.69719909998821,[-1.8533222999831196],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.1393392028261482,frequency,177.0,8.607844559263247,0.0009407539425233385,0,36,[],0.01322426670230925,None,None,91.50055500000599,91.50055500000599,0.21855426669935696,1.3578934695255052,91.71156299998984,91.50055500000599,,,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,1.1109177250018356,frequency,140.0,9.02772240281896,0.001665836526154816,0,37,[],0.004880866646999493,0.197384366649203,['space'],92.88130370000727,92.88130370000727,0.197384366649203,1.3083020916510386,93.0928750000021,92.88130370000727,[-0.684317999985069],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,106.66262709998409,None,1.5953575886886462,none,354.0,9.0,0.00024941670488659655,0,28,[],0.013118766655679792,None,None,107.69502310000826,None,0.21879856663872488,1.814156155327371,107.90835019998485,None,,94.23221839999314,None,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666]",,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,2.2374651187459738,none,1263.0,6.9161145294741075,0.00012014249425722703,0,29,[],0.004605266673024744,0.19747826669481583,['space'],109.53181620000396,109.53181620000396,0.19747826669481583,2.4349433854407896,109.74355489999289,109.53181620000396,[-1.0154572000028566],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.721497803725237,none,446.0,9.448739783325129,0.0002202235972693005,0,30,[],0.011474866652861238,None,['space'],112.00719919998664,112.00719919998664,0.21225896666874178,2.9337567703939786,112.22309620000306,112.00719919998664,[-0.9310496000107378],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,1.690357461653632,none,,,,1,30,[],0.011802366701886058,None,['space'],114.97155630000634,114.97155630000634,0.21700116668944247,1.9073586283430746,115.19136880000588,114.97155630000634,[-2.391331699996954],,,,,,,,regvnx,001,fr,0,2022-04-28_15h23.14.645,Continuous,2022.1.1,None,
