sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,23.301475999993272,None,71.07988179998938,None,"[0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334]",72.93547969998326,None,2.9641840984759282,none,637.0,-3.753662496719904,3.2812922621147786e-05,0,26,[],0.017475270084105432,None,None,73.96495409996714,None,0.22525297000538558,3.189437068481314,74.18478659994435,None,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,1,0,1,0,,,,,,,,2.1926172322444617,none,,,,1,26,[],0.022984970128163695,None,None,77.14493810001295,77.14493810001295,0.2263213701080531,2.418938602352515,77.3657155999681,77.14493810001295,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,2,0,2,0,,,,,,,,2.2684381927597874,none,179.0,-7.398512831634481,0.0001458826446080105,0,27,[],0.02447747008409351,None,None,79.55067339993548,79.55067339993548,0.22886397002730519,2.4973021627870926,79.76856909994967,79.55067339993548,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,3,0,3,0,,,,,,,,2.0374592873122017,none,127.0,-3.4549426850280778,0.00047357542515802067,0,28,[],0.023641269886866212,None,None,82.02797619998455,82.02797619998455,0.23077436990570277,2.2682336572179045,82.24436899996363,82.02797619998455,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,4,0,4,0,,,,,,,,2.152968971391984,none,253.0,-5.861636651675605,8.366958332505833e-05,0,29,[],0.02353807003237307,None,None,84.27554399997462,84.27554399997462,0.23068227001931518,2.3836512414112994,84.49462000001222,84.27554399997462,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,5,0,5,0,,,,,,,,2.035168502734055,none,1202.0,3.319974867150039,7.69432705629612e-05,0,30,[],0.023503169999457896,None,None,86.64574870001525,86.64574870001525,0.23117247002664953,2.2663409727607045,86.86510219995398,86.64574870001525,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,6,0,6,0,,,,,,,,1.7027470171484747,none,715.0,-1.3175626942998016,3.755868036357126e-05,0,31,[],0.023435770068317652,None,None,88.89684679999482,88.89684679999482,0.23169667006004602,1.9344436872085207,89.10923870000988,88.89684679999482,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,7,0,7,0,,,,,,,,1.3610383145048401,none,425.0,-4.911913487016146,4.2762822735294804e-05,0,32,[],0.02251396991778165,None,None,90.81374349992257,90.81374349992257,0.2289241700200364,1.5899624845248765,91.0303402999416,90.81374349992257,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,8,0,8,0,,,,,,,,2.806431116922984,none,1071.0,-1.1576467222193232,4.1154783942114924e-05,0,33,[],0.01989957003388554,0.21821716998238117,None,92.37856450001709,92.37856450001709,0.21821716998238117,3.0246482869053652,92.59811609995086,92.37856450001709,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,9,0,9,0,,,,,,,,1.796983805730471,none,142.0,-6.3124550667543895,0.0002762461351608624,0,34,[],0.021971070091240108,None,None,95.39790979993995,95.39790979993995,0.22330817009788007,2.020291975828351,95.61793259996921,95.39790979993995,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,10,0,10,0,,,,,,,,2.1640226282075488,none,379.0,-8.0,3.264724102951903e-05,0,35,[],0.0234210699563846,None,None,97.40992090001237,97.40992090001237,0.22761796996928751,2.3916405981768363,97.62089919997379,97.40992090001237,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
0,0,0,0,11,0,11,0,,,,,,,,1.0118245414931788,none,1801.0,-1.251418872215213,5.6993929311260596e-05,0,36,[],0.023140170029364526,None,None,99.78582479991019,99.78582479991019,0.22753927006851882,1.2393638115616976,100.00168629991822,99.78582479991019,,,,nfsmrp,001,fr,0,2022-06-21_16h17.30.072,Continuous,2022.1.1,35.23595759208557,
