sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.953589399927296,None,96.63825119996909,None,0.5833333333333334,98.59104289999232,None,1.6991891881869097,both,177.0,-1.0,0.0003112316958067494,0,24,[],0.012205966748297215,None,None,99.6275794999674,None,0.2220168667845428,1.9212060549714525,99.84282649995293,None,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,1,0,1,0,,,,,,,,1.6991891881869097,both,265.0,0.17962311172959344,0.00015475911934122294,0,25,[],0.0116942668100819,None,None,101.53051299997605,101.53051299997605,0.2169207667466253,1.916109954933535,101.7510943999514,101.53051299997605,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,2,0,2,0,,,,,,,,1.6991891881869097,both,397.0,-1.2261807686308712,6.715168941018556e-05,0,26,[],0.012197566800750792,None,None,103.43930139997974,103.43930139997974,0.21766836673486978,1.9168575549217794,103.65063649998046,103.43930139997974,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,3,0,3,0,,,,,,,,1.6991891881869097,both,595.0,-1.0,5.046678368245945e-05,0,27,[],0.012277066707611084,None,None,105.3528568999609,105.3528568999609,0.21592176670674235,1.915110954893652,105.56751959992107,105.3528568999609,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,4,0,4,0,,,,,,,,1.6991891881869097,both,891.0,5.66826480766195,7.865285114266697e-05,0,28,[],0.012018966721370816,None,['space'],107.25990339997225,107.25990339997225,0.2100317666772753,1.909220954864185,107.47171870002057,107.25990339997225,[-0.6559925000183284],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,5,0,5,0,,,,,,,,1.6991891881869097,both,1335.0,-5.949886578619434,2.6413641675345728e-05,0,29,[],0.004747866652905941,0.19764236663468182,['space'],109.17264929995872,109.17264929995872,0.19764236663468182,1.8968315548215915,109.38345520000439,109.17264929995872,[-1.113840900012292],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,6,0,6,0,,,,,,,,1.6991891881869097,both,2000.0,-2.8016596434032737,5.41859912044326e-05,0,30,[],0.011963066761381924,None,None,111.08030069991946,111.08030069991946,0.21415266674011946,1.9133418549270291,111.29504959995393,111.08030069991946,,,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,7,0,7,0,,,,,,,,1.6991891881869097,both,2997.0,0.964277838734044,6.146929216781761e-05,0,31,[],0.011811766657046974,None,['space'],112.99206620000768,112.99206620000768,0.21810286666732281,1.9172920548542325,113.20880319993012,112.99206620000768,[-1.3482517000520602],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,8,0,8,0,,,,,,,,1.6991891881869097,both,4490.0,-2.719063318181,8.603149694552552e-05,0,32,[],0.0118583666626364,None,['space'],114.90116739994846,114.90116739994846,0.2155063666868955,1.9146955548738052,115.11035199998878,114.90116739994846,[-1.2891222999896854],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
0,0,0,0,9,0,9,0,,,,,,,,1.6991891881869097,both,6727.0,-1.1916379109319113,0.0001246253559714241,0,33,[],0.00987306667957455,None,['space'],116.80953430000227,116.80953430000227,0.20870366657618433,1.907892854763094,117.02471489994787,116.80953430000227,[-1.5022026000078768],,,,,,,,nefynm,001,english,0,2022-05-06_09h33.12.972,Continuous,2022.1.1,36.15696316197544,
