sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_frequency,Audiogram_none,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,21.601751500042155,None,42.58215490006842,None,"[0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333]",44.5761490999721,None,2.244465051821048,none,1261.0,-0.8312455076383,4.928632346964187e-05,0,27,[],0.004576766397804022,0.19872126635164022,None,45.60208089998923,None,0.19872126635164022,2.443186318172688,45.81604059995152,None,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.158228274433177,none,446.0,3.7790383997584014,0.00011465124714207014,0,28,[],0.011936166556552052,0.2078603666741401,['space'],48.0829143000301,48.0829143000301,0.2078603666741401,2.366088641107317,48.28899669996463,48.0829143000301,[-1.7781082999426872],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.8176230765323844,none,,,,1,28,[],0.011944366618990898,None,['space'],50.47389500006102,50.47389500006102,0.2106040664948523,2.0282271430272365,50.68697779998183,50.47389500006102,[-1.769374999916181],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.2563517706346525,none,1001.0,-0.41677057222095504,4.2028475399528715e-05,0,29,[],0.01288936659693718,0.2101472665090114,None,52.53248850000091,52.53248850000091,0.2101472665090114,2.466499037143664,52.746048599947244,52.53248850000091,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.445640990018682,none,668.0,-0.8976583880894391,4.313587288361613e-05,0,30,[],0.011791966622695327,None,['space'],55.01949999993667,55.01949999993667,0.21228186669759452,2.6579228567162767,55.226921499939635,55.01949999993667,[-1.842931899940595],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.6279014716650233,none,315.0,1.235696303661037,0.00011369852208229137,0,31,[],0.011497766710817814,0.20849976665340364,None,57.700940599897876,57.700940599897876,0.20849976665340364,1.836401238318427,57.914382099872455,57.700940599897876,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.130360846247723,none,149.0,2.5711259013873775,0.0006844137090399001,0,32,[],0.004646366694942117,0.19378386670723557,None,59.567742000101134,59.567742000101134,0.19378386670723557,2.3241447129549586,59.77846629987471,59.567742000101134,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.7401474876414857,none,2380.0,-0.7592946660819226,7.626812311224839e-05,0,33,[],0.004690366331487894,0.1938494665082544,['space'],61.93670369987376,61.93670369987376,0.1938494665082544,2.93399695414974,62.148200100054964,61.93670369987376,[-1.768683600006625],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.3628388453397549,none,354.0,-1.0,7.887248739356936e-05,0,34,[],0.01160606648772955,None,['space'],64.91601680009626,64.91601680009626,0.2141410664189607,1.5769799117587155,65.13571659987792,64.91601680009626,[-2.4919477999210358],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.4068819807496737,none,167.0,1.2730505994755081,0.00044649901645401875,0,35,[],0.010894866427406669,0.20671356655657291,None,66.5199835000094,66.5199835000094,0.20671356655657291,1.6135955473062467,66.73239780007862,66.5199835000094,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,2.696662802204065,none,1889.0,-0.5479679299365919,6.553234484811474e-05,0,36,[],0.011484366608783603,None,None,68.16458319989033,68.16458319989033,0.20787866669707,2.904541468901135,68.37722039991058,68.16458319989033,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,73.93049969989806,None,2.6706758983953893,frequency,140.0,0.6106722660570112,0.0006320913885071404,0,27,[],0.0075968666933476925,0.20368596678599715,None,74.95916739990935,None,0.20368596678599715,2.8743618651813865,75.17001680005342,None,,71.10231569991447,None,0.3333333333333333,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.803996968121756,frequency,177.0,1.60581363555525,0.00042012110670657535,0,28,[],0.010897566564381123,None,None,77.86563350004144,77.86563350004144,0.21386966668069363,2.0178666348024494,78.08137389994226,77.86563350004144,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,1.8248319462097018,frequency,223.0,0.6151408999149388,0.0002365543292750011,0,29,[],0.0111156664788723,None,None,79.90884849987924,79.90884849987924,0.21324326656758785,2.0380752127772896,80.12431239988655,79.90884849987924,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.1285606381221527,frequency,,,,1,29,[],0.011758866487070918,None,['space'],81.97711330000311,81.97711330000311,0.2103759665042162,2.338936604626369,82.18739810003899,81.97711330000311,[-1.4796631000936031],,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.6939248294904186,frequency,354.0,-1.0,7.887248739356936e-05,0,30,[],0.009164966410025954,None,None,84.3393963999115,84.3393963999115,0.2290086664725095,1.922933495962928,84.55859069991857,84.3393963999115,,,,,,,,,quvsxs,001,fr,0,2022-05-17_13h07.04.793,Continuous,2022.1.1,None,
