sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,,Audiogram_frequency,feedback.rt,Audiogram_time,Audiogram_both,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.336595500004478,None,55.11152370006312,None,"[0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666]",57.06295270007104,None,1.833221539836889,none,379.0,-8.0,3.264724102951903e-05,0,26,[],0.02301617991179228,None,None,58.07466850010678,None,0.23281287995632738,2.0660344197932163,58.28480030002538,None,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,1,0,1,0,,,,,,,,2.502227202296077,none,253.0,-3.672140866403371,0.00010765703023977159,0,27,[],0.02196738007478416,0.21879768010694534,None,60.113828200032,60.113828200032,0.21879768010694534,2.7210248824030225,60.31895040010568,60.113828200032,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,2,0,2,0,,,,,,,,2.3649211990308894,none,1010.0,-4.486077678272661,2.653201456852106e-05,0,28,[],0.022588580031879246,None,None,62.82167480001226,62.82167480001226,0.2312063800636679,2.5961275790945573,63.04290140001103,62.82167480001226,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,3,0,3,0,,,,,,,,1.1487060579537802,none,,,,1,28,[],0.02173907996620983,0.21690897992812097,None,65.40282519999892,65.40282519999892,0.21690897992812097,1.3656150378819012,65.6111729000695,65.40282519999892,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,4,0,4,0,,,,,,,,2.9596852777661313,none,134.0,-6.018539567585413,0.00032137349333598476,0,29,[],0.024043479934334755,None,None,66.75854260008782,66.75854260008782,0.2260218799347058,3.185707157700837,66.9778114000801,66.75854260008782,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,5,0,5,0,,,,,,,,1.224474000097635,none,1134.0,2.9018678501362123,6.935476498007018e-05,0,30,[],0.017839879961684346,None,None,69.93612220010255,69.93612220010255,0.22771017998456955,1.4521841800822046,70.15299020009115,69.93612220010255,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,6,0,6,0,,,,,,,,2.3602540747636995,none,601.0,-7.707760033145475,2.2928665009827832e-05,0,31,[],0.02253608009777963,None,None,71.37090660003014,71.37090660003014,0.2213265800382942,2.5815806548019937,71.58499800006393,71.37090660003014,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,7,0,7,0,,,,,,,,1.041081460136036,none,425.0,-4.897880941407276,4.2831964328278116e-05,0,32,[],0.021360679995268583,None,None,73.945644200081,73.945644200081,0.21569417999126017,1.2567756401272963,74.1567478000652,73.945644200081,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,8,0,8,0,,,,,,,,2.770060130151432,none,535.0,-3.5203285493575267,4.399737030787353e-05,0,33,[],0.02135377994272858,None,None,75.19675390003249,75.19675390003249,0.2172458799323067,2.9873060100837385,75.40528720000293,75.19675390003249,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
0,0,0,0,9,0,9,0,,,,,,,,2.3595398417953213,none,900.0,-6.337178295935587,1.986764676226924e-05,0,34,[],0.022375180036760867,None,None,78.17564020003192,78.17564020003192,0.22580378002021462,2.585343621815536,78.3892822000198,78.17564020003192,,,,,,,,,,,bihhjl,001,fr,0,2022-06-23_12h09.59.632,Continuous,2022.1.1,36.78422045953056,
