frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,193.60705776664352,None,192.53250229998957,192.84956649999367,193.5310274999938,193.8580725999782,None,None,up,1,1.334551999985706,192.59324200000265,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,196.50561816664802,None,195.44356329998118,195.76105739999912,196.46009209999465,196.7881112000032,None,None,up,1,1.436394400021527,195.49993930000346,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,198.49161866665625,None,198.44747610000195,198.7738687999954,None,None,None,None,left,1,0.5592918000184,198.50450899999123,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,200.64376966664375,200.86126249999506,200.59937640000135,200.91506489997846,None,None,None,None,left,1,0.4706210999866016,200.6580729999987,None,None,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,left,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,202.66254316666553,202.88619960000506,202.61856999999145,202.9463637000008,203.6338598000002,203.9504450999957,204.6266356999986,204.95540189999156,left,1,2.6463609999918845,202.67420340000535,None,205.18382599999313,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,right,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,208.90332316665834,None,206.8576078999904,207.17474029998994,207.85938229999738,208.16413359998842,208.8577038999938,209.18942199999583,right,1,7.126584899990121,206.9133002999879,None,209.4186351999815,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,right,1000,-20,4.405244365040069e-06,-1,0,-1,-10,217.60371076665277,None,215.5422763999959,215.8575563999766,216.54351999997743,216.86949799998547,217.55699839998852,217.88266279999516,right,1,2.791774599987548,215.59958499998902,None,218.1121171999839,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,left,1000,-20,4.405244365040069e-06,-1,0,-1,-10,219.91844306665396,220.14750649998314,219.90177639998728,220.23012629998266,220.88722259999486,221.20588269998552,221.88978899997892,222.22689119999995,right,0,2.7168739000044297,219.93043609999586,None,222.45637699999497,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,right,1000,-15,7.833755350540743e-06,1,1,1,5,226.1976774666439,226.4180151000037,224.13932170000044,224.45915129999048,225.14128300000448,225.4648232999898,226.15341989998706,226.4720955999801,up,0,2.817981600004714,224.19766629999503,None,226.70130649997736,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,right,1000,-10,1.3930605843148848e-05,1,1,1,5,230.57513856667018,None,228.51656279998133,228.8336891999934,229.52162029998726,229.83751069998834,230.53046729997732,230.87609289999818,up,0,2.9224382000102196,228.57369269998162,None,231.0773089999857,None,qmbami,001,0,fr,2022-04-27_15h18.44.110,3-AFC_adaptive_staircase_mess,2022.1.1,None,
