sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,4,0,4,0,,,,,,,,2.199614613535695,none,199.0,4.281119097701984,0.0004404982142262569,0,28,[],0.00815226649865508,None,['space'],73.28974199993536,73.28974199993536,0.21167216636240482,2.4112867798981,73.5126529999543,73.28974199993536,[-1.1732482998631895],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,2.269678622207059,none,749.0,0.8883687611841928,4.511536914099005e-05,0,29,[],0.011567766545340419,None,['space'],75.74189430009574,75.74189430009574,0.22133886674419045,2.4910174889512495,75.95810090005398,75.74189430009574,[-1.962424200028181],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,1.8114926062650263,none,841.0,1.727193252468096,4.823069292057497e-05,0,30,[],0.004707066575065255,None,None,78.24830750003457,78.24830750003457,0.20463626645505428,2.0161288727200803,78.4687926999759,78.24830750003457,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.906628648897852,none,500.0,4.985540293578561,0.00012683730888936177,0,31,[],0.011473566526547074,None,None,80.31726359995082,80.31726359995082,0.2029187665320933,2.1095474154299456,80.5188261999283,80.31726359995082,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,1.9743239972145392,none,223.0,2.8741101510326357,0.0003068169604671607,0,32,[],0.01148776663467288,None,['space'],82.45264660008252,82.45264660008252,0.21752196666784585,2.1918459638823853,82.67375349998474,82.45264660008252,[-1.6490382000338286],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,,90.71699330001138,None,1.4102974837617113,none,4490.0,-9.141194150358153,4.107248106498828e-05,0,33,[],0.012523266719654202,None,None,91.75517549994402,None,0.25100556667894125,1.6613030504406525,91.99421779997647,None,,84.677038700087,None,"[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666]",,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,2.805550535718762,none,8000.0,-12.0,4.560054196779548e-05,0,34,[],0.010860866401344538,None,None,93.428125299979,93.428125299979,0.22930126660503447,3.0348518023237965,93.64986560004763,93.428125299979,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,1.518232381731578,none,,,,1,34,[],0.010698866797611117,None,['space'],96.48120100004598,96.48120100004598,0.2072714667301625,1.7255038484617404,96.69322329992428,96.48120100004598,[-2.461728199850768],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,2.751390197054561,none,1335.0,-7.712934176525987,2.1561347648197186e-05,0,35,[],0.01209326647222042,None,None,98.23583910008892,98.23583910008892,0.2217017663642764,2.9730919634188373,98.45258959988132,98.23583910008892,,,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,1.744935770464579,none,2997.0,-8.122225115241005,2.1593998380033524e-05,0,36,[],0.010033766506239772,None,['space'],101.23046889994293,101.23046889994293,0.21075546648353338,1.9556912369481123,101.44425669987686,101.23046889994293,[-1.7223141000140458],,,,,nlhglm,001,fr,0,2022-05-09_15h45.26.215,Continuous,2022.1.1,None,
