sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,Audiogram_frequency,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_none,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.74162740004249,None,22.44786179997027,None,0.16666666666666666,26.03968930011615,None,2.5537825513446784,frequency,378.0,4.023185460316272,0.00013073095808916702,0,88,[],0.005384066607803106,0.198775366647169,None,27.066580400103703,None,0.198775366647169,2.7525579179918473,27.277100400067866,None,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,1.5480415115717263,frequency,337.0,3.7195718965370728,0.00014257383630348927,0,89,[],0.007463066605851054,0.20084006641991436,None,29.855748299974948,29.855748299974948,0.20084006641991436,1.7488815779916407,30.063028400065377,29.855748299974948,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.731915852112356,frequency,300.0,3.4785481000249407,0.0001709147065783949,0,90,[],0.012256666785106063,None,None,31.638718800153583,31.638718800153583,0.21139646670781076,1.9433123188201669,31.84911060007289,31.638718800153583,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.4788708090078524,frequency,,,,1,90,[],0.004084366373717785,0.19413736648857594,None,33.6124452999793,33.6124452999793,0.19413736648857594,2.6730081754964283,33.82401390001178,33.6124452999793,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.7105130315025185,frequency,238.0,4.064466115735515,0.00030495850970402755,0,91,['frequency'],0.013303866609930992,None,None,36.328272100072354,36.328272100072354,0.20974706672132015,1.9202600982238387,36.53203730005771,36.328272100072354,"{'estimation': [[125.0, 11.491108708948614], [126.88399804129668, 11.0], [130.9328821772131, 10.0], [133.9716828170366, 9.325751647945836], [135.4219076156163, 9.0], [139.9027097936932, 8.0], [143.5872943746293, 7.224540729525811], [144.91632727392164, 7.0], [150.7784812375125, 6.0], [153.89305166811442, 5.479672939602779], [158.64984214037457, 5.0], [164.93848884661162, 4.3642461937693025], [176.77669529663666, 4.063995413933516], [189.46457081379958, 4.631725764457632], [193.0419338389016, 5.0], [203.0630990890585, 5.983855777856088], [203.18088456994136, 6.0], [210.61399350909082, 7.0], [217.6376408240306, 7.891538752377183], [218.3966747901302, 8.0], [225.44121513083778, 9.0], [232.85217072072768, 10.0], [233.25824788420132, 10.051958644332968], [240.73632565104901, 11.0], [248.86794675851507, 12.0], [249.99999999999937, 12.132708019449462], [258.96670965323455, 13.0], [267.94336563407256, 13.845733274081995], [270.4813844925976, 14.0], [287.1745887492579, 14.997276583419785], [287.2831007696277, 14.999999999999998], [307.78610333622805, 15.502234299221254], [329.87697769322244, 15.39395423512322], [345.3998585879095, 15.0], [353.55339059327247, 14.796655533821903], [376.05731959274584, 14.0], [378.929141627598, 13.900517256562523], [403.7911274826982, 13.0], [406.12619817811606, 12.91802437486784], [435.2752816480601, 12.056184301289052], [438.20730325924836, 12.0], [466.5164957684015, 11.481940512444869], [499.9999999999975, 11.309548996344382], [535.8867312681438, 11.576182268678254], [559.6399300823314, 12.0], [574.3491774985143, 12.254381467895126], [604.8782686821585, 13.0], [615.5722066724546, 13.25158014354389], [642.8161670021741, 14.0], [659.7539553864432, 14.443178260478987], [680.1558319558782, 15.0], [707.1067811865431, 15.698182424720388], [719.3264328090085, 16.0], [757.8582832551941, 16.90840621268014], [762.2365476535437, 17.0], [811.9742542862705, 18.0], [812.2523963562301, 18.005376216847296], [870.5505632961181, 18.966271141651493], [872.9515079036909, 19.0], [933.0329915368008, 19.806407685764157], [949.6639851024519, 20.0], [999.9999999999939, 20.557492363987315], [1045.6466597743402, 21.0], [1071.773462536285, 21.24204167926167], [1148.698354997026, 21.856065586226308], [1170.9791387760752, 22.0], [1231.1444133449063, 22.374756088622796], [1319.5079107728832, 22.743056727908694], [1414.2135623730828, 22.915539668974105], [1515.7165665103846, 22.86218993372935], [1624.5047927124563, 22.5898709832869], [1741.1011265922318, 22.140471820735996], [1771.581342588616, 22.0], [1866.065983073597, 21.576436412880327], [1993.8032495833063, 21.0], [1999.9999999999802, 20.97249881811569], [2143.5469250725646, 20.385924102459676], [2254.891801196915, 20.0], [2297.396709994046, 19.85621201342658], [2462.2888266898062, 19.40921988569528], [2639.01582154576, 19.05946451614352], [2685.7258949915667, 19.0], [2828.427124746159, 18.823621167026374], [3031.4331330207656, 18.7280501452747], [3249.0095854249043, 18.795902478877107], [3437.2159080346105, 19.0], [3482.2022531844555, 19.046160604888577], [3732.1319661471844, 19.483411671067966], [3951.059971068846, 20.0], [3999.9999999999504, 20.111153421368552], [4287.093850145118, 20.930793123327422], [4307.223572133368, 21.0], [4594.793419988081, 21.963161017971533], [4604.105447468844, 22.0], [4861.01768879181, 23.0], [4924.577653379601, 23.239325226881245], [5095.721846978639, 24.0], [5278.031643091513, 24.786738761482198], [5321.858063863308, 25.0], [5526.497875241477, 26.0], [5656.854249492303, 26.61352306639362], [5733.209541069973, 27.0], [5928.3558636062535, 28.0], [6062.866266041501, 28.663591771491113], [6131.144543114943, 29.0], [6330.885286901187, 30.0], [6498.019170849792, 30.80778571237304], [6541.86659305261, 30.999999999999996], [6767.499446304542, 32.0], [6964.4045063688845, 32.84451854053526], [7010.2807551683445, 33.0], [7304.367413548786, 34.0], [7464.2639322943505, 34.52996583199684], [7696.865959300771, 35.0], [7999.999999999882, 35.623415303239256]], 'plus_line': [[125.0, 6.573243460669962], [127.51747629531275, 6.0], [132.42789611698342, 5.0], [133.9716828170366, 4.716933702485201], [137.03745742402614, 4.0], [141.6090086813372, 3.0], [143.5872943746293, 2.602411653895103], [146.70152814279257, 2.0], [152.03779146384076, 1.0], [153.89305166811442, 0.6694762285724234], [159.3982363997856, 0.0], [164.93848884661162, -0.6599642798388138], [174.5267772472665, -1.0], [176.77669529663666, -1.084056810713209], [178.5265192086895, -1.0], [189.46457081379947, -0.5167142089675296], [194.13911064253728, 0.0], [203.0630990890585, 0.9753798567512645], [203.23408606157173, 1.0], [210.25756258512553, 2.0], [217.08708858881212, 3.0], [217.6376408240306, 3.0756038299817243], [224.00719246570839, 4.0], [230.5394249967522, 5.0], [233.25824788420132, 5.39656171643292], [238.06350976868364, 6.0], [245.65136184022353, 7.0], [249.99999999999937, 7.562380488305822], [254.66147648590078, 8.0], [265.0129588004377, 9.0], [267.94336563407256, 9.276795518481986], [280.6155180983241, 10.0], [287.1745887492579, 10.36838304510922], [307.78610333622805, 10.798677876230734], [329.87697769322244, 10.602445449280511], [351.0983620857557, 10.0], [353.55339059327247, 9.92879046996553], [377.9904091752703, 9.0], [378.9291416275985, 8.964785228913856], [404.8722600938373, 8.0], [406.12619817811606, 7.9546126517154905], [435.2752816480601, 7.113016885087059], [441.88548645333304, 7.0], [466.5164957684015, 6.579318174680468], [499.9999999999975, 6.438348513341426], [535.8867312681438, 6.707528844256479], [551.9410677761512, 7.0], [574.3491774985143, 7.380652494315202], [598.7173225350601, 8.0], [615.5722066724546, 8.410702256703766], [635.6924122242897, 9.0], [659.7539553864432, 9.685421476474604], [670.4753299015376, 10.0], [705.2086323068435, 11.0], [707.1067811865431, 11.051893753048484], [744.4198370515995, 12.0], [757.8582832551941, 12.331059280426064], [789.5580172111742, 13.0], [812.2523963562301, 13.463777133837176], [843.403187070684, 14.0], [870.5505632961181, 14.44797892116512], [908.835753833286, 15.0], [933.0329915368008, 15.330126548524513], [987.235652597019, 16.0], [999.9999999999926, 16.14783234042735], [1071.773462536285, 16.891773225407576], [1083.8848263983457, 17.0], [1148.698354997026, 17.53236305863125], [1220.473466589226, 18.0], [1231.1444133449063, 18.064282924995165], [1319.5079107728832, 18.422380471300794], [1414.2135623730828, 18.605889850200317], [1515.7165665103846, 18.573061824115193], [1624.5047927124563, 18.309099182472302], [1701.1570205579765, 18.0], [1741.1011265922318, 17.833389025034748], [1866.065983073597, 17.21491768977088], [1909.4907452881473, 17.0], [1999.9999999999777, 16.545370735450078], [2126.494163660279, 16.0], [2143.5469250725646, 15.924881942320107], [2297.396709994046, 15.362428330951042], [2427.133942644866, 15.0], [2462.2888266898094, 14.898800755151905], [2639.0158215457564, 14.516170410897267], [2828.427124746159, 14.273518754807743], [3031.4331330207615, 14.20671912102825], [3249.0095854249043, 14.346848976206944], [3482.2022531844596, 14.69910719327375], [3617.659109547586, 15.0], [3732.1319661471844, 15.228570068559073], [3999.9999999999554, 15.896393244933577], [4035.236204715176, 16.0], [4287.093850145118, 16.69873755852834], [4378.012312260407, 17.0], [4594.793419988081, 17.698554785402624], [4674.060124521742, 18.0], [4924.577653379601, 18.955954620843602], [4934.892469509113, 19.0], [5168.864510773609, 20.0], [5278.031643091506, 20.472134051915347], [5393.282092662148, 21.0], [5600.331506175081, 22.0], [5656.854249492303, 22.267455121381314], [5812.470366175108, 23.0], [6009.373343442617, 24.0], [6062.866266041508, 24.26467846357949], [6223.236785307073, 25.0], [6424.8912842024965, 26.0], [6498.019170849792, 26.355031474849454], [6654.168171612465, 27.0], [6881.602891011202, 28.0], [6964.404506368902, 28.356394935331473], [7165.989602468745, 29.0], [7464.2639322943505, 29.989688753735912], [7470.479992313872, 29.999999999999996], [7999.999999999882, 30.865950786254015]], 'minus_line': [[125.0, 16.446258073307277], [126.53017796900973, 16.0], [129.89387015868223, 15.0], [133.34701084497797, 14.0], [133.9716828170366, 13.836688489777107], [137.69928707597626, 13.0], [141.9485952065815, 12.0], [143.5872943746293, 11.634666005075271], [147.64157651336785, 11.0], [153.75871690679418, 10.0], [153.89305166811442, 9.978745343903153], [164.93848884661162, 9.01808384196482], [165.98806251068075, 9.0], [176.77669529663677, 8.829214033345398], [180.4672289279782, 9.0], [189.46457081379947, 9.4168089426325], [195.48515352922502, 10.0], [203.0630990890585, 10.685055687534987], [205.46952550105618, 10.999999999999998], [213.4344375909668, 12.0], [217.6376408240306, 12.47456180803197], [221.345311254599, 13.0], [228.75524062225384, 14.0], [233.25824788420132, 14.540810413137462], [236.77833610355768, 15.0], [244.6703906022255, 16.0], [249.99999999999937, 16.60360027783171], [253.87195816178482, 17.0], [263.92732329796183, 18.0], [267.94336563407256, 18.371177828142596], [277.58567724876366, 19.0], [287.1745887492579, 19.602341196595845], [301.4807746424659, 20.0], [307.78610333622805, 20.17970678315136], [329.87697769322244, 20.132226690915548], [335.36920416260625, 20.0], [353.55339059327247, 19.593355300485165], [370.7189037582762, 19.0], [378.929141627598, 18.72794438079404], [398.79322426814946, 18.0], [406.12619817811606, 17.74160797487264], [429.7153623707329, 17.0], [435.2752816480601, 16.834119181880613], [466.5164957684015, 16.210763574147055], [499.9999999999975, 16.00685427684255], [535.8867312681438, 16.305245102929565], [574.0153752783709, 17.0], [574.3491774985143, 17.0061332171679], [615.3801325308434, 18.0], [615.5722066724546, 18.00451551477013], [653.4974451724321, 19.0], [659.7539553864432, 19.15509712763526], [692.7597027875045, 20.0], [707.1067811865431, 20.34361100370461], [735.1665815718045, 21.0], [757.8582832551941, 21.499922605187017], [782.5956422561167, 22.0], [812.2523963562301, 22.572983952820806], [838.0656609556386, 23.0], [870.5505632961192, 23.5206916413015], [907.4303635177685, 24.0], [933.0329915368008, 24.325924211400643], [999.30967607018, 25.0], [999.9999999999926, 25.006964760212565], [1071.773462536285, 25.64647327871183], [1118.146425715757, 26.0], [1148.698354997026, 26.234174028003267], [1231.1444133449063, 26.750175820687076], [1291.9223798652843, 27.0], [1319.5079107728832, 27.117459737138986], [1414.2135623730828, 27.274082909369092], [1515.7165665103846, 27.178655788789705], [1575.4355857063263, 27.0], [1624.5047927124563, 26.869563984251265], [1741.1011265922318, 26.423602194435553], [1836.3833929807827, 26.000000000000004], [1866.065983073597, 25.87760449940199], [1999.9999999999802, 25.315409333052973], [2077.8475037254366, 25.0], [2143.5469250725646, 24.752711424612702], [2297.396709994046, 24.24551658001872], [2388.781000568361, 24.0], [2462.2888266898062, 23.818594738407707], [2639.0158215457564, 23.506941674209564], [2828.427124746159, 23.294233514661318], [3031.4331330207615, 23.18249640984996], [3249.0095854249043, 23.189437929916092], [3482.2022531844555, 23.35393310226801], [3732.1319661471844, 23.71592833505803], [3858.0680040790435, 24.0], [3999.999999999946, 24.321242184227298], [4232.212077175119, 25.0], [4287.093850145118, 25.15908287928236], [4526.787653087465, 26.0], [4594.793419988081, 26.23047616548515], [4784.24241749047, 27.0], [4924.577653379601, 27.535035708667163], [5024.79564382003, 28.0], [5254.827146780048, 29.0], [5278.031643091506, 29.095866431886005], [5451.4221796360125, 30.0], [5656.854249492303, 30.954432670874976], [5665.292061178195, 31.0], [5845.076669955613, 32.0], [6047.919110363387, 33.0], [6062.866266041508, 33.06988493591534], [6233.156413320249, 34.0], [6433.086411868917, 35.0], [6498.019170849792, 35.29953270369735], [6644.096452178575, 36.0], [6864.226258536413, 37.0], [6964.404506368894, 37.41749771319879], [7119.832597555216, 38.0], [7398.782891388891, 39.0], [7464.2639322943505, 39.22383370249889], [7762.7933782658965, 40.0], [7999.999999999892, 40.61183537127762]]}",,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.8825170902133284,frequency,212.0,4.014213084529473,0.00038406423359537415,0,92,['frequency'],0.010717566823586822,None,None,38.27248700009659,38.27248700009659,0.22265796666033566,3.105175056873664,38.49202490015887,38.27248700009659,,,,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.2051261082488627,frequency,189.0,4.0,0.0004841911708835744,0,93,['frequency'],0.011462966678664088,None,['space'],41.39638129994273,41.39638129994273,0.21214286680333316,1.4172689750521958,41.601956400088966,41.39638129994273,,[-2.5448257999960333],,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.099589312102401,frequency,168.0,5.435267133461655,0.0007141842020934992,0,94,['frequency'],0.008108366513624787,0.2006211664993316,['space'],42.834896499989554,42.834896499989554,0.2006211664993316,1.3002104786017326,43.042633400065824,42.834896499989554,,[-0.9275508001446724],,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.1539806111210877,frequency,150.0,4.86751703821851,0.0008759426603036411,0,95,['frequency'],0.0086860666051507,None,['space'],44.16911750007421,44.16911750007421,0.2031281664967537,2.3571087776178414,44.38141859997995,44.16911750007421,,[-0.9019723001401871],,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.667804299449906,frequency,134.0,3.884488384043997,0.0010049893307230002,0,96,['frequency'],0.011094766668975353,None,['space'],46.56614440004341,46.56614440004341,0.20979886665008962,2.8776031660999957,46.779078599996865,46.56614440004341,,[-1.9870422999374568],,,,,,,nlhglm,003,fr,1,2022-05-09_15h57.08.063,Continuous,2022.1.1,None,
