sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.151540599996224,None,65.56665039993823,None,0.3333333333333333,67.59858949994668,None,2.411374886598414,frequency,1416.0,2.0132065058190687,6.353124237435655e-05,0,25,[],0.018954599858261645,None,None,68.62721629999578,None,0.2231342998566106,2.6345091864550247,68.84953499992844,None,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,1,0,1,0,,,,,,,,2.4136434839440506,frequency,1124.0,2.3276615360955377,6.437131229025814e-05,0,26,[],0.020180599996820092,None,None,71.25879919994622,71.25879919994622,0.21756110002752393,2.6312045839715745,71.4754197000293,71.25879919994622,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,2,0,2,0,,,,,,,,1.987395061716665,frequency,892.0,2.0670870641841326,5.1994436176281654e-05,0,27,[],0.02374130010139197,None,"['space', 'space']",73.88944509997964,73.88944509997964,0.2291880000848323,2.2165830618014972,74.09610159997828,73.88944509997964,"[-2.1584438000572845, 0.16149480000603944]",,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,3,0,3,0,,,,,,,,2.458304682060393,frequency,708.0,2.595406408514957,5.976065282106188e-05,0,28,[],0.01703280000947416,None,None,76.08282060001511,76.08282060001511,0.2113664000062272,2.6696710820666203,76.29687570000533,76.08282060001511,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,4,0,4,0,,,,,,,,1.8220566212070148,frequency,562.0,2.325823351864706,8.073978250590052e-05,0,29,[],0.023206599988043308,None,['space'],78.75487629999407,78.75487629999407,0.23803669994231313,2.0600933211493277,78.97717870003544,78.75487629999407,[-2.288558100000955],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,5,0,5,0,,,,,,,,2.9184675788711583,frequency,446.0,1.3688285756097356,8.686969406084822e-05,0,30,[],0.013735199929215014,0.19886219990439713,['space'],80.79573409992736,80.79573409992736,0.19886219990439713,3.1173297787755554,80.99488439993002,80.79573409992736,[-1.6409059999277815],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,6,0,6,0,,,,,,,,1.0433592937946494,frequency,354.0,2.0,0.00011141034968120162,0,31,[],0.023296700092032552,None,['space'],83.91364719998091,83.91364719998091,0.22689470008481294,1.2702539938794624,84.13114269997459,83.91364719998091,[-2.7909398999763653],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,7,0,7,0,,,,,,,,2.932000951782605,frequency,281.0,1.6375709588342957,0.00016257584157385263,0,32,[],0.023466600105166435,None,['space'],85.17268019996118,85.17268019996118,0.22822960012126714,3.1602305519038723,85.37676489993464,85.17268019996118,[-0.897560799960047],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,8,0,8,0,,,,,,,,1.920666994240681,frequency,223.0,4.3515124570985275,0.00036370517335028695,0,33,[],0.023322400054894388,None,['space'],88.30901480000466,88.30901480000466,0.22512059996370226,2.1457875942043834,88.51459439995233,88.30901480000466,[-0.14626129996031523],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,9,0,9,0,,,,,,,,1.6152292237305697,frequency,177.0,3.685452754386226,0.0005337728215896945,0,34,[],0.023221699986606836,None,None,90.43750480003655,90.43750480003655,0.22473439993336797,1.8399636236639376,90.65108500001952,90.43750480003655,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
0,0,0,0,10,0,10,0,,,,,,,,1.7931799529207395,frequency,,,,1,34,[],0.02269530005287379,None,None,92.26338979997672,92.26338979997672,0.22320550004951656,2.016385452970256,92.47556179994717,92.26338979997672,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,0,0,0,0,,,,,0.3333333333333333,97.46967270004097,None,1.4970620305001243,both,1416.0,2.146103947461085,6.451076919961869e-05,0,25,[],0.024300400051288307,None,None,98.47796129994094,None,0.24269820004701614,1.7397602305471405,98.70469099993352,None,,94.26703620003536,None,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,1,0,1,0,,,,,,,,1.4970620305001243,both,1124.0,2.2181021164875503,6.356446439149756e-05,0,26,[],0.0218340998981148,None,None,100.19011770002544,100.19011770002544,0.226146399974823,1.7232084304749473,100.4059341000393,100.19011770002544,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,2,0,2,0,,,,,,,,1.4970620305001243,both,892.0,2.531003446766834,5.4846976579771494e-05,0,27,[],0.02310580003540963,None,None,101.9011624000268,101.9011624000268,0.22578100010287017,1.7228430306029945,102.11645870003849,101.9011624000268,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,3,0,3,0,,,,,,,,1.4970620305001243,both,708.0,2.4412681540374175,5.870950521680919e-05,0,28,[],0.022991500096395612,None,['space'],103.61381639994215,103.61381639994215,0.2273534000851214,1.7244154305852457,103.82983229996171,103.61381639994215,[-1.2115545999258757],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,4,0,4,0,,,,,,,,1.4970620305001243,both,,,,1,28,[],0.014887899975292385,0.2013398000271991,['space'],105.32874999998603,105.32874999998603,0.2013398000271991,1.6984018305273234,105.53235350002069,105.32874999998603,[-1.3574789999984205],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,5,0,5,0,,,,,,,,1.4970620305001243,both,446.0,1.8991486126576946,9.233881435956284e-05,0,29,[],0.023981899954378605,None,None,107.02359370002523,107.02359370002523,0.22320839995518327,1.7202704304553076,107.23627230001148,107.02359370002523,,,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,6,0,6,0,,,,,,,,1.4970620305001243,both,354.0,2.0,0.00011141034968120162,0,30,[],0.02240060002077371,None,['space'],108.73133169999346,108.73133169999346,0.22234159999061376,1.719403630490738,108.94387169997208,108.73133169999346,[-1.4161637000506744],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
1,0,1,0,7,0,7,0,,,,,,,,1.4970620305001243,both,281.0,1.8587799902132836,0.00016676943690865388,0,31,[],0.022677699918858707,None,['space'],110.44198609993327,110.44198609993327,0.22577019990421832,1.7228322304043426,110.65770320000593,110.44198609993327,[-1.286719199968502],,,,,,,,tlvjds,001,fr,0,2022-05-06_11h41.50.914,Continuous,2022.1.1,34.897472970645104,
