practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10], [125, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013622633297927678,None,None,0,,241.1417703999905,242.1563024999341,None,1,242.1563024999341,241.1417703999905,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10], [125, -10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",125,0,0.000722719885372964,False,0.010663999943062663,None,None,0,,244.49017549993005,245.49265999998897,None,1,245.49265999998897,244.49017549993005,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10], [125, -10], [125, 0]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",125,10,0.002285440948074376,False,0.010653699981048703,None,['space'],1,[0.4511588999303058],247.21539189992473,248.22903219994623,None,1,248.22903219994623,247.21539189992473,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10], [1500, 10], [2000, -10], [2000, 10], [3000, -10], [3000, 10], [3000, 30], [4000, 10], [4000, 30], [6000, 10], [6000, -10], [8000, 10], [8000, -10], [750, -10], [750, 10], [500, -10], [500, 10], [250, -10], [250, 10], [125, -10], [125, 0], [125, 10]], 'y': [[1], [1], [1], [1], [-1], [-1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [1], [-1], [1], [-1], [-1], [1], [-1], [1], [-1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",353.5533905932738,2.0,0.0001115563142959358,False,0.01037333335261792,None,['space'],1,[0.5719650000100955],253.31812970002647,254.3342606999213,None,1,254.3342606999213,253.31812970002647,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,189.4645708137998,3.0,0.00042914588322824827,False,0.00502473337110132,0.20230033341795206,['space'],1,[0.4906675999518484],257.04747430002317,258.0609349999577,None,1,258.0609349999577,257.04747430002317,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,574.3491774985172,0.0,5.984619860562044e-05,False,0.009905466809868813,None,['space'],1,[0.5809749000472948],261.2623310999479,262.27619509992655,None,1,262.27619509992655,261.2623310999479,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,1.0,0.0002036901389020564,False,0.008648766670376062,None,None,0,,265.3685355000198,266.3807697999291,None,1,266.3807697999291,265.3685355000198,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,1515.7165665103996,-1.0,4.4233032710320856e-05,False,0.013680833275429904,None,None,0,,269.0443342999788,270.0502644999651,None,1,270.0502644999651,269.0443342999788,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,267.9433656340732,-2.0,0.00011793657968902869,False,0.010646966635249555,None,['space'],1,[-0.5577593999914825],272.8007565999869,273.81185299996287,None,1,273.81185299996287,272.8007565999869,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.012872133287601173,None,None,0,,276.47709269996267,277.4927111000288,None,1,277.4927111000288,276.47709269996267,,hoavur,001,fr,200,2022-05-04_14h45.03.677,Bayesian,2022.1.1,None,
