sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,feedback.rt,Audiogram_frequency,Audiogram_time,Audiogram_both,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,15.146357599995099,None,118.14830309999525,None,0.16666666666666666,120.07524929998908,None,2.0920096941485373,both,758.0,-7.034074231255775,1.7920979572288466e-05,0,26,[],0.012619840010302141,0.19901764001406264,None,121.10412730000098,None,0.19901764001406264,2.2910273341626,121.31210149999242,None,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,1,0,1,0,,,,,,,,2.0920096941485373,both,675.0,-6.6465650834103025,2.19676566413194e-05,0,27,[],0.016071039994130842,None,None,123.40333829999145,123.40333829999145,0.21369643999787513,2.3057061341464125,123.62108559999615,123.40333829999145,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,2,0,2,0,,,,,,,,2.0920096941485373,both,601.0,-6.122305280470091,2.7520195002543776e-05,0,28,[],0.023736240007565357,None,None,125.71274589998939,125.71274589998939,0.23191824000969063,2.323927934158228,125.92742759999237,125.71274589998939,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,3,0,3,0,,,,,,,,2.0920096941485373,both,535.0,-3.435088545926192,4.4431269272849896e-05,0,29,[],0.023795440007233992,None,None,128.0107311999891,128.0107311999891,0.23100044000602793,2.3230101341545653,128.22130809999362,128.0107311999891,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,4,0,4,0,,,,,,,,2.0920096941485373,both,477.0,-2.387260439448095,5.5168701658761195e-05,0,30,[],0.023520840011769906,None,None,130.3132210999902,130.3132210999902,0.23108354001305997,2.3230932341615973,130.52721549999842,130.3132210999902,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,5,0,5,0,,,,,,,,2.0920096941485373,both,425.0,-1.7654076219503816,6.143157614522205e-05,0,31,[],0.016147639995324425,None,None,132.61413279999397,132.61413279999397,0.20989463999285363,2.301904334141391,132.8304264999897,132.61413279999397,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,6,0,6,0,,,,,,,,2.0920096941485373,both,379.0,-8.0,3.264724102951903e-05,0,32,[],0.023698940000031143,None,None,134.92238150000048,134.92238150000048,0.2340442400018219,2.326053934150359,135.13695039998856,134.92238150000048,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,7,0,7,0,,,,,,,,2.0920096941485373,both,338.0,-2.085906585272462,7.2870324664537e-05,0,33,[],0.023387139997794293,None,None,137.21977850000258,137.21977850000258,0.22366944000532385,2.315679134153861,137.43499539999175,137.21977850000258,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,8,0,8,0,,,,,,,,2.0920096941485373,both,301.0,1.2331187148380565,0.00013075894051253528,0,34,[],0.023319240019191056,None,None,139.5214064999891,139.5214064999891,0.2303522400179645,2.322361934166502,139.73713229999703,139.5214064999891,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,9,0,9,0,,,,,,,,2.0920096941485373,both,268.0,-7.837122820747182,6.020282225489142e-05,0,35,[],0.016044439995312132,None,None,141.82355599998846,141.82355599998846,0.2116611399978865,2.303670834146424,142.03983850000077,141.82355599998846,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,10,0,10,0,,,,,,,,2.0920096941485373,both,239.0,0.03651857887406029,0.00018983024879867761,0,36,[],0.023338240003795363,None,None,144.13149509999494,144.13149509999494,0.22670194000238553,2.318711634150923,144.34367570000177,144.13149509999494,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,11,0,11,0,,,,,,,,2.0920096941485373,both,,,,1,36,[],0.023587739997310564,None,None,146.42934199998854,146.42934199998854,0.22773493999557104,2.3197446341441084,146.64395919999515,146.42934199998854,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,12,0,12,0,,,,,,,,2.0920096941485373,both,190.0,-3.028566556649927,0.0002130002505041451,0,37,[],0.02456623999751173,None,None,148.72957389999647,148.72957389999647,0.22849333999329247,2.32050303414183,148.94597220000287,148.72957389999647,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,13,0,13,0,,,,,,,,2.0920096941485373,both,169.0,0.2734366217267782,0.0003904434476766587,0,38,[],0.022043739998480305,None,None,151.0290493999928,151.0290493999928,0.22419824000098743,2.3162079341495247,151.24506909999764,151.0290493999928,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
0,0,0,0,14,0,14,0,,,,,,,,2.0920096941485373,both,151.0,-5.69959562004468,0.0002548706565130889,0,39,[],0.023275439991266467,None,None,153.3300401000015,153.3300401000015,0.2281728399975691,2.3201825341461064,153.5414591000008,153.3300401000015,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,0,0,0,0,,,,,,160.9172966999904,None,2.9382266639405836,none,143.0,-7.4039843331359085,0.0002398278020290487,0,26,[],0.024104939991957508,0.22055964000173844,None,161.9271951999981,None,0.22055964000173844,3.158786303942322,162.12907909999194,None,155.63226559999748,None,"[0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333]",,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,1,0,1,0,,,,,,,,1.3464782984435324,none,201.0,-7.118073890158607,0.00011610447472507243,0,27,[],0.022656839995761402,None,None,165.0672870999988,165.0672870999988,0.23144304000015836,1.5779213384436908,165.2773848999932,165.0672870999988,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,2,0,2,0,,,,,,,,2.264456575417201,none,160.0,-7.957494248088836,0.00016447325671961401,0,28,[],0.023107140004867688,None,None,166.62665389999165,166.62665389999165,0.22850753999955487,2.492964115416756,166.8432671999908,166.62665389999165,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,3,0,3,0,,,,,,,,2.635407937134671,none,,,,1,28,[],0.01629153999965638,None,None,169.10180979999132,169.10180979999132,0.21509814000455663,2.8505060771392277,169.31578029999218,169.10180979999132,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,4,0,4,0,,,,,,,,1.2207266673110004,none,379.0,-8.0,3.264724102951903e-05,0,29,[],0.023508940008468926,None,None,171.95100909999746,171.95100909999746,0.22625484001764562,1.446981507328646,172.17079819999344,171.95100909999746,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,5,0,5,0,,,,,,,,2.3263921113167165,none,1913.0,0.06287435779653405,7.139842680449476e-05,0,30,[],0.01843103999271989,None,None,173.3876203999971,173.3876203999971,0.22090253999340348,2.54729465131012,173.60342529999616,173.3876203999971,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,6,0,6,0,,,,,,,,1.4977259840695607,none,716.0,-5.708634952894476,2.2609166577277498e-05,0,31,[],0.022693940001772717,None,None,175.93136899999809,175.93136899999809,0.22536234000290278,1.7230883240724635,176.15521169999556,175.93136899999809,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,7,0,7,0,,,,,,,,2.5839243593594308,none,1073.0,0.6003746109133825,5.0476976434675854e-05,0,32,[],0.01504234000458382,0.21113583999976981,None,177.64622309998958,177.64622309998958,0.21113583999976981,2.7950601993592006,177.86119759999565,177.64622309998958,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,8,0,8,0,,,,,,,,1.118307269441524,none,568.0,-0.8546617184669763,5.51356332825932e-05,0,33,[],0.021910039999056607,None,None,180.44324469999992,180.44324469999992,0.22551104000012856,1.3438183094416525,180.66378199998871,180.44324469999992,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,9,0,9,0,,,,,,,,1.0642077484625467,none,1518.0,2.3033768964543606,6.49531649325406e-05,0,34,[],0.022720640001352876,None,None,181.7777938999934,181.7777938999934,0.227357440002379,1.2915651884649257,181.99229090000154,181.7777938999934,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
1,0,1,0,10,0,10,0,,,,,,,,2.2666368016133926,none,1352.0,0.7327214828195441,5.655180078907091e-05,0,35,[],0.01566164000541903,None,['space'],183.05072439998912,183.05072439998912,0.21000104000268038,2.476637841616073,183.2666720999987,183.05072439998912,,,,[-0.21121969999512658],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,0,0,0,0,,,,,0.3333333333333333,190.11931969999569,None,1.6486453888815564,both,7818.0,2.7134327774048517,0.00024056864337479902,0,40,[],0.02298324000730645,None,None,191.1361174999911,None,0.23677404000773095,1.8854194288892874,191.3564042999933,None,185.5324205999932,None,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,1,0,1,0,,,,,,,,1.6486453888815564,both,6205.0,1.7622831701248207,0.0001537675472515836,0,41,[],0.015335339994635433,0.21152873999380972,['space'],192.99478699998872,192.99478699998872,0.21152873999380972,1.8601741288753662,193.20971519999148,192.99478699998872,,,,[-0.9469317000039155],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,2,0,2,0,,,,,,,,1.6486453888815564,both,4925.0,3.0,0.00020847022442907278,0,42,[],0.022472040000138804,None,['space'],194.8568998999981,194.8568998999981,0.22656064000329934,1.8752060288848558,195.06946129999415,194.8568998999981,,,,[-1.520772699994268],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,3,0,3,0,,,,,,,,1.6486453888815564,both,3909.0,0.6330493925197018,8.856823331126179e-05,0,43,[],0.014388139999937266,None,['space'],196.71761799999513,196.71761799999513,0.20973564000451006,1.8583810288860665,196.9326677999925,196.71761799999513,,,,[-1.5410928999917815],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,4,0,4,0,,,,,,,,1.6486453888815564,both,3103.0,2.659679605080562,8.770489977920786e-05,0,44,[],0.014940640001441352,0.21289153999532573,['space'],198.58376270000008,198.58376270000008,0.21289153999532573,1.8615369288768822,198.79580549999082,198.58376270000008,,,,[-1.5759083000011742],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,5,0,5,0,,,,,,,,1.6486453888815564,both,,,,1,44,[],0.02259943999524694,None,['space'],200.4474487999978,200.4474487999978,0.22894544000155292,1.8775908288831094,200.66105439999956,200.4474487999978,,,,[-1.4715304999990622],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,6,0,6,0,,,,,,,,1.6486453888815564,both,1955.0,3.6472753434499934,0.00011075801924706028,0,45,[],0.020697839994682,None,None,202.29988530000264,202.29988530000264,0.21963463998690713,1.8682800288684636,202.5197446999955,202.29988530000264,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,7,0,7,0,,,,,,,,1.6486453888815564,both,1552.0,6.2235156723715175,0.00010788208523320127,0,46,[],0.021598139996058308,None,None,204.16771799999697,204.16771799999697,0.22764594000182115,1.8762913288833776,204.37820839999767,204.16771799999697,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,8,0,8,0,,,,,,,,1.6486453888815564,both,1232.0,4.768101597662412,9.307536389139717e-05,0,47,[],0.01873003999935463,None,['space'],206.0219667999918,206.0219667999918,0.21721554000396281,1.8658609288855192,206.24074819999805,206.0219667999918,,,,[-1.4692683000030229],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,9,0,9,0,,,,,,,,1.6486453888815564,both,978.0,3.0,6.134249825094325e-05,0,48,[],0.022117339991382323,None,['space'],207.88658389999182,207.88658389999182,0.23049203999107704,1.8791374288726335,208.1018813999981,207.88658389999182,,,,[-1.4306596999958856],,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
2,0,2,0,10,0,10,0,,,,,,,,1.6486453888815564,both,776.0,2.9851854336418215,5.564280189542735e-05,0,49,[],0.018770139999105595,None,None,209.7415761000011,209.7415761000011,0.217891239997698,1.8665366288792544,209.96113209999749,209.7415761000011,,,,,,,,,,,quicsb,001,fr,0,2022-07-21_14h56.39.686,Continuous,2022.1.1,34.86564349927824,
