sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,feedback.rt,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
1,0,1,0,10,0,10,0,,,,,,,,1.7426980589810197,time,530.0,2.149156206058954,8.550758212413026e-05,0,38,[],0.02762501989491284,None,None,126.62965620006435,126.62965620006435,0.2281172201037407,1.9708152790847604,126.84400220005773,126.62965620006435,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
1,0,1,0,11,0,11,0,,,,,,,,1.7426980589810197,time,,,,1,38,[],0.027236920315772295,None,None,128.61611520010047,128.61611520010047,0.22812802041880786,1.9708260793998276,128.83550140005536,128.61611520010047,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,0,0,0,0,,,,,,136.46640330017544,None,1.368309098227493,time,236.0,6.594886394028276,0.0004164678843596942,0,39,[],0.028920020209625363,None,None,137.48691320000216,None,0.2405864200554788,1.6088955182829718,137.70617550006136,None,130.59416350000538,None,"[0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]",,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,1,0,1,0,,,,,,,,1.368309098227493,time,1588.0,3.5669951870925214,8.404108364422111e-05,0,40,[],0.027174620190635324,None,None,139.09336550021544,139.09336550021544,0.22907952032983303,1.597388618557326,139.3140451000072,139.09336550021544,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,2,0,2,0,,,,,,,,1.368309098227493,time,354.0,7.0,0.00019811873090331728,0,41,[],0.02753632003441453,None,None,140.70133820013143,140.70133820013143,0.22851882013492286,1.5968279183624159,140.91302950005047,140.70133820013143,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,3,0,3,0,,,,,,,,1.368309098227493,time,397.0,2.158287031251144,9.914717244345065e-05,0,42,[],0.027441920014098287,None,None,142.31431310018525,142.31431310018525,0.22692051995545626,1.5952296181829493,142.52589240018278,142.31431310018525,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,4,0,4,0,,,,,,,,1.368309098227493,time,1415.0,5.205365829298698,9.179293227727325e-05,0,43,[],0.026475020218640566,None,None,143.92255270015448,143.92255270015448,0.22682882007211447,1.5951379182996075,144.13852020003833,143.92255270015448,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,5,0,5,0,,,,,,,,1.368309098227493,time,595.0,4.104123855757846,9.0826341318349e-05,0,44,[],0.027144619962200522,None,None,145.53468909999356,145.53468909999356,0.23117062007077038,1.5994797182982634,145.75526870018803,145.53468909999356,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,6,0,6,0,,,,,,,,1.368309098227493,time,1123.0,6.379893710768168,0.00010254981803890534,0,45,[],0.027136020129546523,None,['space'],147.14081630017608,147.14081630017608,0.23033872013911605,1.598647818366609,147.35658300016075,147.14081630017608,,,,[-0.2633765998762101],wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,7,0,7,0,,,,,,,,1.368309098227493,time,891.0,6.759082027918119,8.917750782787467e-05,0,46,[],0.026385820005089045,None,None,148.75500750006177,148.75500750006177,0.22576121985912323,1.5940703180866163,148.96638700016774,148.75500750006177,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,8,0,8,0,,,,,,,,1.368309098227493,time,141.0,4.862902278509699,0.0010157313252372854,0,47,[],0.026361120166257024,None,None,150.36239110003226,150.36239110003226,0.22557112015783787,1.593880218385331,150.5705459001474,150.36239110003226,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
2,0,2,0,9,0,9,0,,,,,,,,1.368309098227493,time,,,,1,47,[],0.020916220033541322,None,None,151.96800340013579,151.96800340013579,0.21382511989213526,1.5821342181196283,152.18150520022027,151.96800340013579,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.58038060017861,None,"[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334]",,,,,,,,,,
