sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,break_txt.started,break_txt.stopped,Intervals,feedback.rt,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.48004200006835,None,62.56059540016577,None,0.3333333333333333,64.66196719999425,None,1.6103075381088336,frequency,1416.0,2.005755354040159,6.347676575036794e-05,0,28,[],0.02415092010051012,None,None,65.6748636001721,None,0.2306669200770557,1.8409744581858893,65.90015440015122,None,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.5459145310351885,frequency,1124.0,2.0886005002651333,6.262378472704668e-05,0,29,[],0.028757419902831316,None,None,67.52865030011162,67.52865030011162,0.23745461995713413,2.7833691509923226,67.7469983000774,67.52865030011162,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.191169906857949,frequency,892.0,2.799231166637322,5.656712132231085e-05,0,30,[],0.02139672008343041,None,None,70.31655140011571,70.31655140011571,0.23151202010922134,2.4226819269671704,70.53853670018725,70.31655140011571,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.5017863719042854,frequency,708.0,3.2031242590442863,6.409161652815158e-05,0,31,[],0.02615061984397471,None,None,72.74956120015122,72.74956120015122,0.22577381995506585,1.7275601918593513,72.97072520013899,72.74956120015122,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.037269424277742,frequency,562.0,2.767069706939687,8.494736128338599e-05,0,32,[],0.02794612036086619,None,None,74.49893880006857,74.49893880006857,0.23036372032947838,2.2676331446072204,74.717688200064,74.49893880006857,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,1.928103454809449,frequency,446.0,1.9645200706942787,9.303639347488085e-05,0,33,[],0.020608120365068316,None,None,76.77528699999675,76.77528699999675,0.21384862018749118,2.14195207499694,76.98996500018984,76.77528699999675,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.445814794519099,frequency,354.0,2.0,0.00011141034968120162,0,34,[],0.02859102003276348,None,None,78.94272410008125,78.94272410008125,0.23126771999523044,1.6770825145143293,79.15751560009085,78.94272410008125,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,1.7683522916523342,frequency,,,,1,34,[],0.02864932012744248,None,None,80.63288700021803,80.63288700021803,0.23143352009356022,1.9997858117458944,80.85263640014455,80.63288700021803,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.442743808059572,frequency,223.0,2.0936060799419574,0.0002804491703994566,0,35,[],0.028510220116004348,None,None,82.64277900010347,82.64277900010347,0.23073962004855275,1.6734834281081248,82.86248270003125,82.64277900010347,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.28542879645404,frequency,177.0,3.368033942883491,0.0005146186441298983,0,36,[],0.02765362011268735,None,None,84.33145160018466,84.33145160018466,0.22881562006659806,2.514244416520638,84.54881900013424,84.33145160018466,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,1.3682313915466278,frequency,140.0,3.27578934900378,0.0008590841922166822,0,37,[],0.02526662009768188,None,None,86.86489720013924,86.86489720013924,0.22495982004329562,1.5931912115899234,87.0846191002056,86.86489720013924,,,,,wxbjqe,001,fr,0,2022-05-16_17h49.14.043,Continuous,2022.1.1,None,
