sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.312151599908248,None,25.056441999971867,None,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]",27.09476669994183,None,2.467954741760799,time,1001.0,2.0264007277384612,5.5680381352382224e-05,0,28,[],0.025587910087779164,None,None,28.110707399901003,None,0.24029380991123617,2.7082485516720354,28.325012099929154,None,,,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.467954741760799,time,446.0,1.5192489641538849,8.838718682137173e-05,0,29,[],0.02524031000211835,None,['space'],30.81537999981083,30.81537999981083,0.24526361003518105,2.7132183517959803,31.039155999897048,30.81537999981083,[-1.6445480997208506],,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.467954741760799,time,125.0,2.4324009991833786,0.0009562909687367587,0,30,[],0.025365510024130344,None,None,33.527506299782544,33.527506299782544,0.24258991004899144,2.7105446518097907,33.74687589984387,33.527506299782544,,,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.467954741760799,time,158.0,3.8028480488620042,0.0006645470643994059,0,31,[],0.025165109895169735,None,None,36.23670369992033,36.23670369992033,0.23655370995402336,2.7045084517148226,36.45176689978689,36.23670369992033,,,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.467954741760799,time,795.0,3.140370309413731,5.540567909938814e-05,0,32,[],0.025426809675991535,None,None,38.943511499790475,38.943511499790475,0.23541890969499946,2.7033736514557987,39.162152000004426,38.943511499790475,,,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.467954741760799,time,177.0,2.3256317014784615,0.0004564207750885281,0,33,[],0.017018310027197003,None,['space'],41.6525899998378,41.6525899998378,0.21698270994238555,2.6849374517031848,41.8710833999794,41.6525899998378,[-2.1851512999273837],,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.467954741760799,time,892.0,2.675727698811502,5.5768492471368615e-05,0,34,[],0.02507840981706977,None,['space'],44.371935199946165,44.371935199946165,0.24839820992201567,2.716352951682815,44.60022269980982,44.371935199946165,[-2.263631099835038],,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.467954741760799,time,562.0,2.759162926335038,8.487006873620657e-05,0,35,[],0.024594709975644946,None,['space'],47.0852806000039,47.0852806000039,0.23480410990305245,2.7027588516638517,47.30009389994666,47.0852806000039,[-2.267003199784085],,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.467954741760799,time,250.0,1.8919031913968936,0.00020824048371264234,0,36,[],0.024694310035556555,None,['space'],49.791273299837485,49.791273299837485,0.22492831014096737,2.6928830519017666,50.008598499931395,49.791273299837485,[-2.2206460000015795],,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.467954741760799,time,223.0,2.3548966406436076,0.0002890138715332713,0,37,[],0.025077809812501073,None,['space'],52.49865969992243,52.49865969992243,0.2389673099387437,2.706922051699543,52.718528599943966,52.49865969992243,[-2.2565332998055965],,,,wxbjqe,002,fr,0,2022-05-16_17h53.52.996,Continuous,2022.1.1,None,
