sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,Audiogram_none,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_frequency,Audiogram_time,Audiogram_both,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,26.918850800022483,None,28.8839554998558,None,"[0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334]",38.62992009986192,None,1.3507771751668836,none,2000.0,1.7718700991202017,9.174100835482363e-05,0,"{'estimation': [[125.0, -0.4676867941293189], [126.67917324559164, 0.0], [130.38903787594347, 1.0], [133.9716828170366, 1.9081523140171395], [134.32599802925535, 2.0], [138.1919608973357, 3.0], [142.12112139092733, 4.0], [143.5872943746293, 4.364185321278242], [146.51077187924056, 5.0], [151.1432953900042, 6.0], [153.89305166811442, 6.581056197223626], [156.590050523559, 7.0], [163.19108704097002, 8.0], [164.93848884661162, 8.25717862036283], [174.41655595113542, 9.0], [176.77669529663666, 9.17657196450585], [189.46457081379947, 9.271874362061858], [195.2570721327169, 9.0], [203.0630990890585, 8.652477055190941], [211.8831472188904, 8.0], [217.6376408240306, 7.5928877917302025], [225.72549178019094, 7.0], [233.25824788420132, 6.468854811371102], [242.83984421023266, 6.0], [249.99999999999937, 5.661768174069063], [267.94336563407256, 5.454622949007334], [287.1745887492579, 5.948393864792029], [288.1300147023649, 6.0], [307.0949426944486, 7.0], [307.78610333622805, 7.035580424247362], [322.90729826283587, 8.0], [329.87697769322244, 8.433531235614634], [339.72025128604645, 9.0], [353.55339059327247, 9.773707536542535], [359.486722218827, 10.0], [378.929141627598, 10.714058292274181], [402.89762597356537, 11.0], [406.12619817811606, 11.036917702998938], [409.2257824133754, 11.0], [435.2752816480601, 10.704997920330284], [461.08778210744117, 10.0], [466.5164957684015, 9.85770541936413], [492.3407148450724, 9.0], [499.99999999999693, 8.753472120360799], [525.0217673927345, 8.0], [535.8867312681438, 7.680468966844105], [567.910306779982, 7.0], [574.3491774985143, 6.866238382322675], [615.5722066724546, 6.413326134912053], [659.7539553864432, 6.278827003145237], [707.1067811865431, 6.30463363682134], [757.8582832551941, 6.285067963412871], [812.2523963562301, 6.04852590333474], [817.463667031047, 6.0], [870.5505632961181, 5.525463723103888], [913.8823357868091, 5.0], [933.0329915368008, 4.775302236821103], [996.7912459259397, 4.0], [999.9999999999926, 3.9619565178275407], [1071.773462536285, 3.2837984536667455], [1126.5910191190694, 3.0], [1148.698354997026, 2.887521426355753], [1231.1444133449063, 2.8013845498656833], [1319.5079107728832, 2.910852785017051], [1414.2135623730828, 2.9950426569222555], [1515.7165665103846, 2.806203077322535], [1624.5047927124563, 2.1670050894503308], [1641.5332553111455, 2.0], [1741.1011265922318, 1.0364900878136551], [1744.1184453808073, 1.0], [1827.1887456282595, 0.0], [1866.065983073597, -0.4611194148164066], [1910.5755967666187, -1.0], [1994.7286314276082, -2.0], [1999.9999999999827, -2.061623108434939], [2097.1310875384715, -3.0], [2143.5469250725646, -3.4330022726646128], [2249.274704568974, -4.0], [2297.396709994049, -4.246834055337137], [2462.2888266898062, -4.254822740439233], [2509.224943500666, -4.0], [2639.01582154576, -3.3351413530419087], [2672.7091221951796, -2.9999999999999996], [2776.2758003048366, -2.0], [2828.427124746159, -1.5174556363472023], [2869.1275033173324, -1.0], [2948.43206282818, 0.0], [3030.3078887379343, 1.0], [3031.4331330207615, 1.0134511926016558], [3104.074414084992, 2.0], [3177.9376177709028, 3.0], [3249.0095854249043, 3.9368281664521], [3254.071457718781, 4.0], [3333.7027262275533, 5.0], [3413.721116440362, 6.0], [3482.2022531844555, 6.834355666767624], [3499.0763624242863, 7.0], [3601.0600145990315, 8.0], [3705.1989221230597, 9.0], [3732.1319661471844, 9.253241325457841], [3860.329581920326, 10.0], [3999.9999999999504, 10.787799888771856], [4155.889973496278, 11.0], [4287.093850145118, 11.172718531730222], [4349.033523069838, 11.0], [4594.793419988081, 10.346295988090757], [4653.821024855725, 10.0], [4829.182058457311, 9.0], [4924.577653379601, 8.478387939550174], [4989.186629481603, 8.0], [5126.229176360684, 7.0], [5268.640332054569, 6.0], [5278.031643091506, 5.935981043081599], [5404.99848079677, 5.0], [5542.571957960542, 4.0], [5656.854249492303, 3.197590936369286], [5688.93050096176, 3.0], [5851.641471745693, 2.0], [6017.399651674803, 1.0], [6062.866266041508, 0.7322051478858275], [6234.627907087686, 0.0], [6473.189719626347, -1.0], [6498.019170849792, -1.1021862911149154], [6903.306509378261, -2.0], [6964.404506368902, -2.131921550729854], [7464.2639322943505, -2.3773613344591755], [7999.999999999882, -2.0129240558697528]], 'plus_line': [[125.0, -9.25769125345021], [125.83879966125951, -9.0], [129.11206637034203, -8.0], [132.37514663160044, -7.0], [133.9716828170366, -6.52719464203013], [136.09488322689006, -6.0], [140.04617750878126, -5.0], [143.5872943746292, -4.090964123134624], [144.02938929397052, -4.0], [148.90247738002375, -3.0], [153.64957760590173, -2.0], [153.89305166811442, -1.949842211559283], [160.04852026835195, -1.0], [164.93848884661162, -0.24950524388238002], [167.6303642202876, 0.0], [176.77669529663666, 0.8058119388724962], [185.89288703432558, 1.0], [189.46457081379947, 1.0691514927769679], [191.2948715261667, 1.0], [203.0630990890585, 0.5645981748867862], [211.04864269108973, 0.0], [217.6376408240306, -0.44914207067069445], [225.0894414221515, -1.0], [233.25824788420132, -1.5826118027454532], [241.52109195350144, -2.0], [249.99999999999937, -2.421446249327391], [267.94336563407256, -2.664760817146703], [287.1745887492579, -2.2156854114717413], [291.39602407720815, -2.0], [307.78610333622805, -1.1861612444100103], [310.7905791654846, -1.0], [327.18336397776676, 0.0], [329.87697769322244, 0.16089810936062965], [344.7521407353296, 1.0], [353.55339059327247, 1.4867405315388131], [366.37814366404484, 2.0], [378.929141627598, 2.480081507456285], [406.12619817811606, 2.9108257131999014], [435.2752816480601, 2.676697610494077], [461.39804478202456, 2.0], [466.5164957684015, 1.8706167146407493], [491.37815236883364, 1.0], [499.9999999999975, 0.7082279597915604], [521.0344656034207, 0.0], [535.8867312681438, -0.48641950296656133], [557.0010127713053, -1.0], [574.3491774985143, -1.4164358536365103], [615.5722066724546, -1.9099989958247525], [659.7539553864432, -1.995420926639164], [707.1067811865431, -1.8619420959131385], [757.8582832551941, -1.7615883184361014], [812.2523963562301, -1.9029742933638485], [823.9022865402684, -2.0], [870.5505632961181, -2.3840048623791166], [921.4848330043576, -3.0], [933.0329915368019, -3.137180689484375], [998.5014138866402, -4.0], [999.9999999999926, -4.0194224598265365], [1071.773462536285, -4.834537347006805], [1095.0816707783308, -5.0], [1148.698354997026, -5.385373601013275], [1231.1444133449063, -5.573838842854753], [1319.5079107728832, -5.480482311978396], [1414.2135623730828, -5.358736320776323], [1515.7165665103846, -5.545308091386479], [1582.1599418102696, -6.0], [1624.5047927124563, -6.288814398036215], [1685.7891250926086, -7.0], [1741.1011265922318, -7.623422640773445], [1767.825369721162, -8.0], [1840.4568693748356, -9.0], [1866.065983073597, -9.341350001140583], [1914.9699055569859, -10.0], [1993.2597251805673, -11.0], [1999.9999999999802, -11.08418191240167], [2092.710195726155, -12.0], [2143.5469250725646, -12.474054896266072], [2260.844550993534, -12.999999999999998], [2297.3967099940432, -13.158633918619872], [2411.1197006234006, -13.0], [2462.2888266898062, -12.936030598964887], [2602.164156368394, -12.0], [2639.01582154576, -11.76816118633036], [2711.239532928601, -11.0], [2805.9401420675267, -10.0], [2828.427124746159, -9.770911170359577], [2890.132591080437, -9.0], [2968.268064808121, -8.0], [3031.4331330207615, -7.19294874419542], [3046.679049842369, -7.0], [3124.678388779659, -6.0], [3199.6033839127053, -5.0], [3249.0095854249043, -4.342870666541902], [3278.829820083687, -4.0], [3363.8818749013612, -3.0], [3445.927783092666, -2.0], [3482.2022531844555, -1.5626157587102538], [3543.7326194009042, -1.0], [3650.7155880246282, 0.0], [3732.1319661471844, 0.7669656691793558], [3773.127580146535, 1.0], [3951.0324142014733, 2.0], [3999.9999999999504, 2.270239417172163], [4287.093850145118, 2.6775345437615425], [4561.594136241077, 2.0], [4594.793419988081, 1.9201017219246892], [4758.348155878086, 1.0], [4924.577653379601, 0.13814530835606742], [4943.1359904288765, 0.0], [5078.565645015587, -1.0], [5225.273511726094, -2.0], [5278.031643091506, -2.3407971586021277], [5363.5764006947875, -3.0], [5497.793042028157, -4.0], [5644.232976939246, -5.0], [5656.854249492303, -5.083457492559024], [5794.66507303221, -6.0], [5953.213428009334, -7.0], [6062.866266041516, -7.6484010905603865], [6138.240927738559, -8.0], [6357.526427296747, -9.0], [6498.019170849792, -9.605631797326161], [6661.939369971339, -10.0], [6964.404506368894, -10.704406774535425], [7464.2639322943505, -10.999260932756902], [7999.999999999882, -10.922285763503906]], 'minus_line': [[125.0, 8.095289607926851], [128.61597348040897, 9.0], [133.04505912592435, 10.0], [133.9716828170366, 10.197731190802273], [136.81746926636922, 11.0], [140.51047866235731, 12.0], [143.5872943746293, 12.77858665926563], [144.50575070517934, 13.0], [148.66042054327772, 14.0], [153.08777426533544, 15.0], [153.89305166811442, 15.177094755187012], [158.96015510475104, 16.0], [164.93848884661162, 16.910814276832525], [166.15618039475757, 17.0], [176.77669529663666, 17.752736870103373], [189.46457081379947, 17.692231596899703], [201.41597217410984, 17.0], [203.0630990890585, 16.910857717737017], [214.23334193827856, 16.0], [217.6376408240306, 15.734326593746179], [227.03913520059504, 15.0], [233.25824788420132, 14.532425261480993], [243.46866841588758, 14.0], [249.99999999999937, 13.677237297512711], [267.94336563407256, 13.46097111958068], [287.1745887492579, 13.990575963896541], [287.33460626346147, 14.000000000000002], [304.5842823375545, 15.0], [307.78610333622805, 15.179837711443364], [319.44771809143907, 16.0], [329.87697769322244, 16.700178204404352], [334.718209661409, 17.0], [351.39430573048895, 18.0], [353.55339059327247, 18.126101107946504], [376.8835830302594, 19.0], [378.929141627598, 19.074650717851288], [406.12619817811606, 19.330410444958922], [427.4051715529069, 19.0], [435.2752816480601, 18.88724416863571], [465.15317167686476, 18.000000000000004], [466.5164957684015, 17.961497772814756], [495.50305171050536, 17.0], [499.9999999999975, 16.855639674487836], [530.0818993660554, 16.0], [535.8867312681438, 15.839804968353471], [574.3491774985143, 15.087889088327456], [582.2429065110842, 15.0], [615.5722066724546, 14.653522029004746], [659.7539553864432, 14.467546010640389], [707.1067811865431, 14.398884008473953], [757.8582832551941, 14.285484163858884], [808.5274347371413, 13.999999999999998], [812.2523963562301, 13.980639158544662], [870.5505632961181, 13.43797974662197], [906.7257073769445, 13.0], [933.0329915368008, 12.696610211971581], [994.0477603168509, 12.0], [999.9999999999926, 11.934794573587562], [1071.773462536285, 11.362582763656647], [1148.698354997026, 11.068510651588706], [1231.1444133449063, 11.031891031691618], [1319.5079107728832, 11.103326416651223], [1414.2135623730828, 11.093084800944581], [1450.6346946170786, 11.0], [1515.7165665103846, 10.84771046814464], [1624.5047927124563, 10.262944998044809], [1655.6198192109368, 10.0], [1741.1011265922318, 9.291598703557337], [1768.981705202408, 9.0], [1864.2203065811486, 8.0], [1866.0659830735992, 7.980836444237137], [1956.3786917394066, 6.999999999999999], [1999.9999999999802, 6.524553047295738], [2055.931262979169, 6.0], [2143.5469250725646, 5.187329448860536], [2175.0054806924977, 5.0], [2297.396709994046, 4.304177531797007], [2462.2888266898062, 4.1552163589665545], [2639.01582154576, 4.94009214358436], [2645.1028985504895, 5.0], [2748.219939475568, 6.0], [2828.427124746159, 6.722724963151689], [2848.8235106626666, 7.0], [2922.732100859961, 8.0], [3001.7893243483063, 9.0], [3031.4331330207615, 9.358807851486063], [3073.6636883001747, 10.0], [3140.4754629194226, 11.0], [3211.5815005455056, 12.0], [3249.0095854249043, 12.499939501807658], [3284.4184684844276, 13.0], [3355.7025469449004, 14.0], [3431.1673348062072, 15.0], [3482.2022531844596, 15.638135004216874], [3515.485640704442, 16.0], [3608.504645074199, 17.0], [3708.0898575712167, 18.0], [3732.1319661471844, 18.233905462204653], [3855.9002397174895, 19.0], [3999.9999999999504, 19.840482972895188], [4129.925512423642, 20.0], [4287.093850145118, 20.19271685691809], [4347.046745832946, 20.0], [4594.793419988081, 19.24568557684107], [4633.839707560354, 19.0], [4794.901378050541, 18.0], [4924.577653379601, 17.202451925536206], [4951.213062583325, 17.0], [5082.831333290426, 16.0], [5211.82491065956, 15.0], [5278.031643091506, 14.496779734133629], [5346.30745736105, 14.0], [5481.078527734771, 13.0], [5612.9780131450025, 12.0], [5656.854249492303, 11.674806020034357], [5772.073798287161, 11.0], [5938.266391190182, 10.0], [6062.866266041508, 9.243966268944291], [6124.283280283515, 9.0], [6375.54368640299, 8.0], [6498.019170849792, 7.511253386802281], [6747.439624847351, 7.0], [6964.404506368894, 6.567125564110761], [7464.2639322943505, 6.420638259087153], [7906.87877532619, 7.0], [7999.999999999882, 7.124772427030911]]}",132,['none'],0.011753366561606526,None,None,39.676442799856886,None,0.22131946659646928,1.5720966417633528,39.89383259997703,None,,,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,1.7715198550859066,none,3175.0,-0.987456495666822,6.199402878378589e-05,0,,133,['none'],0.010391333373263478,None,['space'],41.28383810003288,41.28383810003288,0.21306093339808285,1.9845807884839894,41.50686439988203,41.28383810003288,[-0.8177923001348972],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.8625617591755077,none,3564.0,-0.5078575279520454,7.195408434037039e-05,0,,134,['none'],0.015233933227136731,None,['space'],43.31334949983284,43.31334949983284,0.21810823329724371,3.0806699924727514,43.53202229994349,43.31334949983284,[-1.2714621000923216],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.2449177780040808,none,4000.0,0.14524542524177364,8.53556503280654e-05,0,,135,['none'],0.0075189664494246244,None,None,46.42733209999278,46.42733209999278,0.22436136635951698,2.4692791443635977,46.652754300041124,46.42733209999278,,,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.6011833243628122,none,7127.0,2.749205469845352,0.00021281672439928579,0,,136,['none'],0.010694766649976373,None,['space'],48.91966509982012,48.91966509982012,0.22005296661518514,1.8212362909779973,49.13879100000486,48.91966509982012,[-1.9659835000056773],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.9275721777354704,none,2520.0,0.902210222097354,9.391838200947291e-05,0,,137,['none'],0.010076666483655572,None,None,50.761662899982184,50.761662899982184,0.22002156637609005,3.1475937441115605,50.97900729998946,50.761662899982184,,,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.061847382345059,none,4490.0,3.377852616998415,0.0001735814358281643,0,,138,['none'],0.010829566745087504,None,['space'],53.930433499859646,53.930433499859646,0.21762556675821543,1.2794729491032744,54.15070559992455,53.930433499859646,[-2.7130578998476267],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.5429452488653363,none,,,,1,,138,['none'],0.011069066356867552,None,['space'],55.23109819996171,55.23109819996171,0.22229446657001972,2.765239715435356,55.44874279992655,55.23109819996171,[-0.87747299997136],,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,1.78708961505875,none,8000.0,-1.0,0.00016179682846481421,0,,139,['none'],0.012237666640430689,None,None,58.011903799837455,58.011903799837455,0.2268945665564388,2.013984181615189,58.23003039998002,58.011903799837455,,,,,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,,62.46379299997352,None,2.9700970382198193,both,126.0,4.530398432744544,0.0012025602671853098,0,,35,['none'],0.01296056667342782,None,None,63.486923399847,None,0.2327612666413188,3.202858304861138,63.70803189999424,None,,60.03931219992228,None,0.16666666666666666,,,,,,wxbjqe,002,fr,1,2022-05-16_17h57.54.371,Continuous,2022.1.1,None,
