sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_both,Audiogram_frequency,Audiogram_none,Audiogram_time,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,22.7671356999781,None,26.502555599901825,None,"[0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334]",28.9898816999048,None,1.2462624781913483,time,281.0,2.09130183074421,0.00017129415911785879,0,47,[],0.022360510076396167,None,None,30.029990799957886,None,0.2507523101521656,1.4970147883435139,30.261373099987395,None,,,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,1,0,1,0,,,,,,,,1.2462624781913483,time,188.0,0.950834205159928,0.0003449095947311073,0,48,[],0.022716709994710982,None,None,31.494517499930225,31.494517499930225,0.24279420997481793,1.4890566881661662,31.71880049991887,31.494517499930225,,,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,2,0,2,0,,,,,,,,1.2462624781913483,time,,,,1,48,[],0.02292280993424356,None,['space'],32.951467099948786,32.951467099948786,0.24454790994059294,1.4908103881319412,33.17920359992422,32.951467099948786,[-0.9503050000639632],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,3,0,3,0,,,,,,,,1.2462624781913483,time,750.0,3.889440583414937,6.359779134298719e-05,0,49,[],0.02399861009325832,None,None,34.41237469995394,34.41237469995394,0.24101151002105325,1.4872739882124015,34.635736999916844,34.41237469995394,,,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,4,0,4,0,,,,,,,,1.2462624781913483,time,125.0,0.13696564659065635,0.0007342066041903482,0,50,[],0.022666310076601803,None,['space'],35.86902009998448,35.86902009998448,0.24792901007458568,1.494191488265934,36.083884299965575,35.86902009998448,[-0.9710390999680385],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,5,0,5,0,,,,,,,,1.2462624781913483,time,945.0,3.0993068959565484,6.070777690995217e-05,0,51,[],0.014120010077022016,None,['space'],37.3362507999409,37.3362507999409,0.23129940999206156,1.4775618881834098,37.56252839998342,37.3362507999409,[-0.8227659000549465],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,6,0,6,0,,,,,,,,1.2462624781913483,time,397.0,2.195623531019268,9.957427618326898e-05,0,52,[],0.022435709950514138,None,['space'],38.797069199965335,38.797069199965335,0.23639291001018137,1.4826553882015296,39.013792499899864,38.797069199965335,[-0.9067313000559807],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,7,0,7,0,,,,,,,,1.2462624781913483,time,595.0,4.0,8.974404231340594e-05,0,53,[],0.022287210100330412,None,['space'],40.24981999990996,40.24981999990996,0.24807961005717516,1.4943420882485234,40.477203399990685,40.24981999990996,[-0.9043816999765113],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,8,0,8,0,,,,,,,,1.2462624781913483,time,1191.0,3.055152397008724,7.397871680653163e-05,0,54,[],0.022303010104224086,None,['space'],41.71165939990897,41.71165939990897,0.21884061011951417,1.4651030883108624,41.922583299921826,41.71165939990897,[-0.9897873000008985],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
0,0,0,0,9,0,9,0,,,,,,,,1.2462624781913483,time,354.0,4.0,0.0001402573203505389,0,55,[],0.02231141005177051,0.2167240099515766,['space'],43.16834189998917,43.16834189998917,0.2167240099515766,1.4629864881429249,43.374675999977626,43.16834189998917,[-1.055227900040336],,,,,,,,,,cmzntn,002,fr,1,2022-05-02_14h36.51.244,Continuous,2022.1.1,29.502188909249302,
