sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,Frequency,Volume,Psychopy_level,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,28.512943900190294,None,61.22046949993819,None,"[0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",64.35166270006448,None,2.5036533159379193,time,1,26,[],0.023504219949245453,None,None,65.37454030010849,None,0.2363118203356862,2.7399651362736055,65.59608459984884,None,,,,,,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,1,0,1,0,,,,,,,,2.5036533159379193,time,0,27,[],0.01851992029696703,None,None,68.09381340024993,68.09381340024993,0.22232642024755478,2.725979736185474,68.31390109984204,68.09381340024993,1259.0,0.45215560580041103,5.718654982852562e-05,,,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,2,0,2,0,,,,,,,,2.5036533159379193,time,0,28,[],0.02329711988568306,None,['space'],70.81351260002702,70.81351260002702,0.23495871992781758,2.738612035865737,71.02972360001877,70.81351260002702,236.0,0.08427331185368936,0.00019681167731153574,[-2.040949100162834],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,3,0,3,0,,,,,,,,2.5036533159379193,time,0,29,[],0.023558219894766808,None,['space'],73.53343260008842,73.53343260008842,0.2305082194507122,2.7341615353886315,73.75420289998874,73.53343260008842,354.0,-1.0,7.887248739356936e-05,[-2.177253299858421],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,4,0,4,0,,,,,,,,2.5036533159379193,time,0,30,[],0.023394619580358267,None,['space'],76.25268039992079,76.25268039992079,0.23694121977314353,2.740594535711063,76.46953420015052,76.25268039992079,187.0,0.0028080761679316613,0.0003128890686389073,[-1.8319598003290594],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,5,0,5,0,,,,,,,,2.5036533159379193,time,0,31,[],0.020852620247751474,None,['space'],78.97453759983182,78.97453759983182,0.22679912019520998,2.7304524361331293,79.18874699994922,78.97453759983182,595.0,-0.5601099942724126,5.308846003534995e-05,[-2.224903099704534],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,6,0,6,0,,,,,,,,2.5036533159379193,time,0,32,[],0.023194119799882174,None,['space'],81.69171110028401,81.69171110028401,0.2292529195547104,2.7329062354926297,81.91185279982165,81.69171110028401,891.0,-0.1988320014797228,4.002760724895949e-05,[-0.957984599750489],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,7,0,7,0,,,,,,,,2.5036533159379193,time,0,33,[],0.023430120199918747,None,None,84.40874220011756,84.40874220011756,0.2382126203738153,2.7418659363117346,84.62936440017074,84.40874220011756,125.0,2.105366476906905,0.0009209548263311419,,,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,8,0,8,0,,,,,,,,2.5036533159379193,time,0,34,[],0.022144519723951817,None,['space'],87.12995560001582,87.12995560001582,0.24086751975119114,2.7445208356891104,87.35004570009187,87.12995560001582,1122.0,-0.8145190907533689,4.475534019306816e-05,[-2.1083158999681473],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
0,0,0,0,9,0,9,0,,,,,,,,2.5036533159379193,time,0,35,[],0.023235519882291555,None,['space'],89.84810779988766,89.84810779988766,0.252134719863534,2.7557880358014533,90.07767459983006,89.84810779988766,1000.0,-0.2915280451380877,4.2598430878854705e-05,[-0.7718855999410152],,,,,,eqdcwr,001,english,0,2022-05-24_14h53.53.792,Continuous,2022.1.1,35.81197563384986,
