sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Audiogram_none,,Audiogram_both,Audiogram_frequency,Audiogram_time,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.724961000028998,None,22.332308399956673,None,"[0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333]",26.260558699956164,None,2.992529504776095,time,5042.0,17.376806282492577,0.001117851738560421,0,42,[],0.022814849857240915,None,None,27.287425299873576,None,0.22783184982836246,3.2203613546044574,27.501142399851233,None,,,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.992529504776095,time,3365.0,6.661773260969593,0.0001567401803038043,0,43,[],0.020929950289428234,None,['space'],30.514489699853584,30.514489699853584,0.2209695503115654,3.2134990550876603,30.73487879987806,30.514489699853584,[-2.536368900211528],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,2.992529504776095,time,,,,1,43,[],0.023182150209322572,None,['space'],33.75052979984321,33.75052979984321,0.2290671500377357,3.2215966548138306,33.963207999942824,33.75052979984321,[-2.907897900091484],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,2.992529504776095,time,2671.0,22.53291558439673,0.001007538644001873,0,44,[],0.024289650144055486,None,['space'],36.973791299853474,36.973791299853474,0.23431485006585717,3.226844354841952,37.19192530005239,36.973791299853474,[-0.08354260004125535],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,2.992529504776095,time,1001.0,18.97799717760439,0.0003919963503437056,0,45,[],0.01568194990977645,None,None,40.211428199894726,40.211428199894726,0.21138545009307563,3.2039149548691706,40.4297127998434,40.211428199894726,,,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.992529504776095,time,668.0,13.222678281962478,0.00021920750763276437,0,46,[],0.022369550075381994,None,['space'],43.44998229993507,43.44998229993507,0.22420475003309548,3.2167342548091904,43.66675249999389,43.44998229993507,[-2.8962811999954283],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,2.992529504776095,time,1415.0,17.643199794307474,0.0003843270404900062,0,47,[],0.022504750173538923,None,['space'],46.67817689990625,46.67817689990625,0.25421445025131106,3.246743955027406,46.91148620005697,46.67817689990625,[-0.516283999895677],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.992529504776095,time,6353.0,17.978749963242564,0.001042896836083381,0,48,[],0.022492150077596307,None,['space'],49.92998469993472,49.92998469993472,0.2445026501081884,3.2370321548842833,50.15397659991868,49.92998469993472,[-2.5676847000140697],,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.992529504776095,time,265.0,20.736477929569368,0.0016500571661658117,0,49,[],0.014990850118920207,None,"['space', 'space']",53.17169680004008,53.17169680004008,0.22212054999545217,3.214650054771547,53.38787680002861,53.17169680004008,"[-2.9462854999583215, -0.2014729999937117]",,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,2.992529504776095,time,446.0,16.571032524684078,0.0005000097689597738,0,50,[],0.022772150114178658,None,None,56.40734090004116,56.40734090004116,0.228979550069198,3.221509054845293,56.62000029999763,56.40734090004116,,,,,,,,,luctew,001,fr,1,2022-05-12_14h56.18.810,Continuous,2022.1.1,None,
