sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Audiogram_both,Audiogram_frequency,Intervals,Audiogram_time,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,20.512628800002858,None,24.46526429988444,None,0.3333333333333333,28.22512500011362,None,1.273702402699376,frequency,499.0,6.750446320716851,0.0001555259324252174,0,88,[],0.011716766515746713,None,None,29.243428099900484,None,0.22638676641508937,1.5000891691144653,29.457108600065112,None,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
0,0,0,0,1,0,1,0,,,,,,,,2.611610036318061,frequency,396.0,7.669108007531193,0.00018761902507561686,0,89,[],0.00463076657615602,0.1976933665573597,None,30.732348799938336,30.732348799938336,0.1976933665573597,2.809303402875421,30.943621899932623,30.732348799938336,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
0,0,0,0,2,0,2,0,,,,,,,,1.6852446982381029,frequency,314.0,7.748378033781108,0.0002432368154695409,0,90,[],0.009909566724672914,None,None,33.547391100088134,33.547391100088134,0.209195866715163,1.8944405649532658,33.76128440001048,33.547391100088134,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
0,0,0,0,3,0,3,0,,,,,,,,2.642514088675979,frequency,249.0,5.410259479736965,0.00031588849689612517,0,91,[],0.011524366680532694,None,None,35.44135300000198,35.44135300000198,0.21190786664374173,2.8544219553197205,35.65586580010131,35.44135300000198,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
0,0,0,0,4,0,4,0,,,,,,,,2.538131130038103,frequency,198.0,7.83917612029452,0.0006724896909538538,0,92,[],0.011875166557729244,None,['space'],38.299913299968466,38.299913299968466,0.21560766664333642,2.7537387966814393,38.51253270008601,38.299913299968466,[-2.316866100067273],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
0,0,0,0,5,0,5,0,,,,,,,,1.934548422735552,frequency,157.0,9.327583746834254,0.0012813992875210184,0,93,[],0.011737666558474302,None,['space'],41.04697089991532,41.04697089991532,0.2130260665435344,2.1475744892790862,41.25927889999002,41.04697089991532,[-2.3117721998132765],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
0,0,0,0,6,0,6,0,,,,,,,,1.232779352922165,frequency,125.0,8.0,0.0018153902738505074,0,94,[],0.008539566304534674,None,['space'],43.19113490008749,43.19113490008749,0.20682646636851132,1.4396058192906762,43.41058379993774,43.19113490008749,[-1.7522158999927342],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
0,0,0,0,7,0,7,0,,,,,,,,2.8410578885806776,frequency,,,,1,94,[],0.003849166678264737,None,['space'],44.6456426999066,44.6456426999066,0.19686016673222184,3.0379180553128995,44.862078400095925,44.6456426999066,[-1.078058399958536],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
1,0,1,0,0,0,0,0,,,,,0.5833333333333334,53.1255167000927,None,1.501692878373982,both,1864.0,7.386082579584375,0.00016072271163243405,0,94,[],0.013003666885197163,None,None,54.14798070001416,None,0.21776586677879095,1.719458745152773,54.36104970006272,None,,47.69685079995543,None,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
1,0,1,0,1,0,1,0,,,,,,,,1.501692878373982,both,1244.0,6.446291160267128,0.0001139673461413581,0,95,[],0.011382066644728184,None,None,55.857656199950725,55.857656199950725,0.21519936667755246,1.7168922450515345,56.07356490008533,55.857656199950725,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
1,0,1,0,2,0,2,0,,,,,,,,1.501692878373982,both,830.0,9.177168682240929,0.00011281688524930542,0,96,[],0.011559966718778014,None,['space'],57.565388600109145,57.565388600109145,0.21534696663729846,1.7170398450112805,57.77668170002289,57.565388600109145,[-1.134584000101313],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
1,0,1,0,3,0,3,0,,,,,,,,1.501692878373982,both,554.0,11.474078804211404,0.0002361494891328231,0,97,[],0.011564466636627913,None,['space'],59.27793519990519,59.27793519990519,0.21266976674087346,1.7143626451148555,59.49328999989666,59.27793519990519,[-1.2952343998476863],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
1,0,1,0,4,0,4,0,,,,,,,,1.501692878373982,both,370.0,9.981148683977855,0.0002661366209316736,0,98,[],0.011688266647979617,None,['space'],60.98467890010215,60.98467890010215,0.2148138666525483,1.7165067450265303,61.196791799971834,60.98467890010215,[-1.3537713999394327],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
1,0,1,0,5,0,5,0,,,,,,,,1.501692878373982,both,247.0,11.513112780540625,0.0006525371820883836,0,99,[],0.01164576644077897,None,['space'],62.69869180000387,62.69869180000387,0.21683536632917821,1.7185282447031602,62.91358010005206,62.69869180000387,[-1.339009900111705],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
1,0,1,0,6,0,6,0,,,,,,,,1.501692878373982,both,165.0,12.0,0.0015642086050847068,0,100,[],0.01116956677287817,None,"['space', 'space']",64.40657199989073,64.40657199989073,0.21728296671062708,1.718975845084609,64.61553280008957,64.40657199989073,"[-1.3671983999665827, -0.039574299938976765]",,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
1,0,1,0,7,0,7,0,,,,,,,,1.501692878373982,both,,,,1,100,[],0.01159986644051969,None,None,66.11869479995221,66.11869479995221,0.21332746651023626,1.7150203448842183,66.3333157999441,66.11869479995221,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,0,0,0,0,,,,,0.5833333333333334,72.51784610003233,None,2.868145014006586,frequency,8000.0,-6.0,9.098504293049921e-05,0,95,[],0.012918166583403945,None,None,73.5648058000952,None,0.21612166659906507,3.084266680605651,73.78191139991395,None,,67.82448669988662,None,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,1,0,1,0,,,,,,,,1.0634310832996143,frequency,5339.0,-3.870805390895147,8.981462518512323e-05,0,96,[],0.010681966552510858,None,None,76.64058379991911,76.64058379991911,0.2130270665511489,1.2764581498507632,76.85692559997551,76.64058379991911,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,2,0,2,0,,,,,,,,2.3358071524011734,frequency,3563.0,-6.479481512833364,3.61721485605016e-05,0,97,[],0.010989666683599353,None,['space'],77.91489599994384,77.91489599994384,0.21181916655041277,2.547626318951586,78.13186890003271,77.91489599994384,[-0.8923675999976695],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,3,0,3,0,,,,,,,,2.5870608862569253,frequency,2378.0,-2.4896231026604156,6.245903247650218e-05,0,98,[],0.009365566540509462,None,['space'],80.46167990006506,80.46167990006506,0.21068216650746763,2.797743052764393,80.67764450004324,80.46167990006506,[-2.318009400041774],,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,4,0,4,0,,,,,,,,1.3429251650368825,frequency,1587.0,3.7946415097660324,8.614204990994426e-05,0,99,[],0.010837666690349579,None,None,83.25862609990872,83.25862609990872,0.21438696677796543,1.557312131814848,83.47168700001203,83.25862609990872,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,5,0,5,0,,,,,,,,2.8650408857974385,frequency,1059.0,-3.386505121657078,3.150044779007776e-05,0,100,[],0.010561666684225202,None,None,84.81624670000747,84.81624670000747,0.21155296661891043,3.076593852416349,85.03580110007897,84.81624670000747,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,6,0,6,0,,,,,,,,1.6253195959604785,frequency,707.0,2.8704461791634497,6.18052958267302e-05,0,101,[],0.006771166576072574,None,None,87.8879195000045,87.8879195000045,0.20578206656500697,1.8311016625254855,88.10733989998698,87.8879195000045,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,7,0,7,0,,,,,,,,2.4855121452519575,frequency,472.0,6.042072652563028,0.00014611157616914547,0,102,[],0.010796366725116968,None,None,89.73289310000837,89.73289310000837,0.21829666662961245,2.70380881188157,89.94277859991416,89.73289310000837,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
2,0,2,0,8,0,8,0,,,,,,,,1.507276839812299,frequency,,,,1,102,[],0.01084616663865745,None,None,92.42877770005725,92.42877770005725,0.21476896665990353,1.7220458064722026,92.64576680003665,92.42877770005725,,,,,,,,,,,rehvhf,001,fr,1,2022-05-11_11h58.18.262,Continuous,2022.1.1,35.5893417255325,
