sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,Frequency,Volume,Psychopy_level,feedback.rt,break_txt.started,break_txt.stopped,,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,17.235143899917603,None,46.68141749990173,None,"[0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334]",49.23648660001345,None,2.360810173332692,none,1,24,[],0.02265592012554407,0.21851282007992268,None,50.274785300018266,None,0.21851282007992268,2.5793229934126147,50.483095000032336,None,,,,,,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
0,0,0,0,1,0,1,0,,,,,,,,2.8060425402340488,none,0,25,[],0.023894320242106915,None,None,52.83072580001317,52.83072580001317,0.23242702009156346,3.038469560325612,53.054737200029194,52.83072580001317,298.0,2.6396158561846415,0.00015805022715231334,,,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
0,0,0,0,2,0,2,0,,,,,,,,1.836912768997194,none,0,26,[],0.01797791989520192,None,None,55.84981869999319,55.84981869999319,0.21529681980609894,2.0522095888032927,56.066231600008905,55.84981869999319,945.0,4.553526802737244,7.177204567573548e-05,,,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
0,0,0,0,3,0,3,0,,,,,,,,2.6045207276713307,none,0,27,[],0.01869882014580071,None,None,57.90194369992241,57.90194369992241,0.21648542024195194,2.8210061479132826,58.1196638001129,57.90194369992241,562.0,1.9531346697795042,7.734872175990892e-05,,,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
0,0,0,0,4,0,4,0,,,,,,,,2.037731399301821,none,0,28,[],0.021940519800409675,None,None,60.71903489995748,60.71903489995748,0.22452981979586184,2.2622612190976827,60.931062099989504,60.71903489995748,375.0,3.326884775593099,0.00012180233791486618,,,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
0,0,0,0,5,0,5,0,,,,,,,,2.932714829316523,none,0,29,[],0.02233541989699006,None,None,62.97128630010411,62.97128630010411,0.22367641981691122,3.156391249133434,63.18339710007422,62.97128630010411,177.0,0.0,0.00034920770625886783,,,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
0,0,0,0,6,0,6,0,,,,,,,,2.902825808201885,none,0,30,[],0.02253431989811361,None,None,66.11747840000317,66.11747840000317,0.22670691995881498,3.1295327281607,66.33140089991502,66.11747840000317,199.0,2.7564220857828574,0.0003695807151749335,,,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
0,0,0,0,7,0,7,0,,,,,,,,1.6409124536000446,none,0,31,[],0.022286919876933098,None,['space'],69.23691380000673,69.23691380000673,0.22787812002934515,1.8687905736293897,69.45087180007249,69.23691380000673,141.0,8.707571648893794,0.0015812928777784365,[-1.3050798000767827],,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
0,0,0,0,8,0,8,0,,,,,,,,2.0646462781657107,none,0,32,[],0.02217762009240687,None,None,71.09627550002187,71.09627550002187,0.22613282012753189,2.2907790982932426,71.3031363999471,71.09627550002187,158.0,7.851989649629521,0.001059211833147779,,,,,rehvhf,001,fr,0,2022-05-11_11h56.39.198,Continuous,2022.1.1,36.403680405701365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.37137360009365,None,0.3333333333333333,,,,,,,,,
