sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_both,Audiogram_time,Audiogram_frequency,Audiogram_none,end_txt.started,end_txt.stopped,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,16.33452260005288,None,49.07963789999485,None,"[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666]",51.40842670004349,None,1.3643564379672408,time,891.0,21.986966803993642,0.000514813077029629,0,24,[],0.01873309991788119,None,None,52.428727000020444,None,0.221163299982436,1.5855197379496768,52.65092380007263,None,,,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,1,0,1,0,,,,,,,,1.3643564379672408,time,188.0,8.86494590398353,0.0008578490224845309,0,25,[],0.02311309997458011,None,['space'],54.00523080001585,54.00523080001585,0.2273562999907881,1.591712737958029,54.2278735000873,54.00523080001585,[-0.9258699999190867],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,2,0,2,0,,,,,,,,1.3643564379672408,time,397.0,19.44291530351441,0.0007252900954465577,0,26,[],0.0232508999761194,None,None,55.587581400061026,55.587581400061026,0.23010320006869733,1.5944596380359382,55.79925839998759,55.587581400061026,,,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,3,0,3,0,,,,,,,,1.3643564379672408,time,707.0,20.98285181707235,0.0004973315044884991,0,27,[],0.023364100023172796,None,['space'],57.16586599999573,57.16586599999573,0.2299067999701947,1.5942632379374355,57.37997470004484,57.16586599999573,[-0.886169399949722],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,4,0,4,0,,,,,,,,1.3643564379672408,time,167.0,20.914829978458087,0.004284592029094449,0,28,[],0.021423800149932504,None,['space'],58.73401900008321,58.73401900008321,0.21952100016642362,1.5838774381336644,58.95173990004696,58.73401900008321,[-1.095035700011067],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,5,0,5,0,,,,,,,,1.3643564379672408,time,630.0,16.080651883905823,0.0003258386505994314,0,29,[],0.023001600056886673,None,['space'],60.31799160002265,60.31799160002265,0.2267993000568822,1.591155738024123,60.53138260007836,60.31799160002265,[-1.143417999963276],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,6,0,6,0,,,,,,,,1.3643564379672408,time,1000.0,21.871152031739705,0.0005464212820395411,0,30,[],0.023272600024938583,None,['space'],61.89457180001773,61.89457180001773,0.22555600001942366,1.5899124379866645,62.108696500072256,61.89457180001773,[-1.1509506999282166],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,7,0,7,0,,,,,,,,1.3643564379672408,time,281.0,16.26968730207344,0.0008763181928355734,0,31,[],0.02310150011908263,None,None,63.46531140001025,63.46531140001025,0.22388810012489557,1.5882445380921364,63.67963820009027,63.46531140001025,,,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,8,0,8,0,,,,,,,,1.3643564379672408,time,500.0,15.048617842696828,0.0004040181693466223,0,32,[],0.018962800037115812,None,['space'],65.0419116000412,65.0419116000412,0.21664550004061311,1.581001938007854,65.25829900009558,65.0419116000412,[-1.0032883000094444],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
0,0,0,0,9,0,9,0,,,,,,,,1.3643564379672408,time,,,,1,32,[],0.023202500073239207,None,['space'],66.62572970008478,66.62572970008478,0.2264858001144603,1.590842238081701,66.84155280003324,66.62572970008478,[-0.84255599998869],,,,,,,,,,wquuex,001,fr,0,2022-05-06_17h12.00.958,Continuous,2022.1.1,35.720957881604356,
